collector_name;collector_address;collector_number;collector_nik;collector_zip;collector_rt;collector_rw;collector_birth_place;collector_age;collector_marital_status;collector_gender;avg_bill_methods;debtor_volume_handled;bill_amount_collected;total_actual;total_cost;success_rate;time_to_collect
William Harmon;"Jalan Cempaka No. 5
Tasikmalaya, JB 42801";+62 (08) 056 7417;6,3236E+15;42801;13;16;Papua, 14-12-1971;52;Cerai mati;perempuan;surat panggilan;21;90500000;148000000;388222;61;7
Susan Martinez;"Gg. Ahmad Dahlan No. 253
Serang, Kalimantan Barat 85262";+62-678-369-8793;4,22206E+15;85262;5;6;Kepulauan Bangka Belitung, 23-04-1987;36;Cerai hidup;perempuan;surat panggilan;24;18500000;175500000;374773;11;9
Kevin Shaw;"Gang Lembong No. 1
Tarakan, Papua Barat 90215";+62-028-529-2906;2,98013E+15;90215;3;13;Sulawesi Utara, 12-01-1996;27;Cerai mati;laki-laki;surat panggilan;39;38000000;135000000;776965;28;6
Donna Hoover;"Gg. Veteran No. 364
Tebingtinggi, Jawa Tengah 48051";+62 (000) 419 9154;4,55187E+15;48051;10;15;Kalimantan Selatan, 31-05-1999;24;Menikah;perempuan;surat panggilan;38;160500000;192500000;499836;83;7
Steven Johnson;"Gg. Erlangga No. 7
Salatiga, Sulawesi Utara 50499";+62 (836) 384 5672;2,47343E+15;50499;2;14;Sulawesi Barat, 27-01-1992;31;Belum menikah;laki-laki;surat panggilan;29;27000000;97000000;444665;28;6
Lisa Gonzalez;"Gang Peta No. 7
Meulaboh, BT 61786";+62-0152-553-6554;7,39352E+15;61786;13;17;Kalimantan Timur, 29-05-1989;34;Menikah;laki-laki;surat panggilan;23;28500000;106000000;344363;27;7
Kimberly Ray;"Jalan Cihampelas No. 494
Kupang, Bali 42488";+62 (654) 216-6343;5,89982E+15;42488;4;5;DI Yogyakarta, 21-01-1978;45;Cerai hidup;perempuan;surat panggilan;27;69000000;135500000;296908;51;8
Anthony Jordan;"Gg. S. Parman No. 0
Serang, ST 28566";+62 (040) 588 7019;2,85631E+15;28566;17;12;Kalimantan Utara, 19-09-1983;40;Belum menikah;perempuan;surat panggilan;30;412000000;439000000;553886;94;7
Deborah Alexander;"Jl. Veteran No. 088
Blitar, Bali 86542";+62 (941) 321 0168;1,98894E+15;86542;4;4;Sulawesi Selatan, 26-01-1964;59;Cerai hidup;laki-laki;surat panggilan;29;49500000;74500000;522937;66;8
Lisa Yates;"Jalan Lembong No. 2
Pangkalpinang, ST 87180";+62 (0153) 539 3293;3,12571E+15;87180;19;8;Bengkulu, 17-02-1991;32;Menikah;perempuan;surat panggilan;26;93000000;107500000;304973;87;9
Briana Hawkins;"Jl. Cempaka No. 188
Bandung, NB 97668";+62 (36) 253 6749;5,5712E+15;97668;13;8;Gorontalo, 08-07-1992;31;Belum menikah;laki-laki;surat panggilan;35;119000000;150000000;539199;79;9
Nicholas Bradley Jr.;"Gang M.T Haryono No. 2
Bima, Nusa Tenggara Timur 76095";+62 (71) 481 0557;7,29792E+15;76095;7;12;Sulawesi Utara, 29-05-1965;58;Cerai mati;laki-laki;surat panggilan;38;97500000;211500000;491297;46;7
Christina Perkins;"Gang S. Parman No. 4
Prabumulih, Sulawesi Barat 17333";+62 (294) 057 1244;5,87656E+15;17333;3;6;Maluku Utara, 24-07-1994;29;Menikah;laki-laki;surat panggilan;31;31000000;86500000;322205;36;8
Tiffany Hines;"Gang Pacuan Kuda No. 3
Sawahlunto, KB 11220";+62 (635) 781 4923;8,8179E+15;11220;17;20;Bengkulu, 30-11-2000;23;Cerai hidup;perempuan;surat panggilan;29;301500000;306500000;593664;98;6
Melissa Steele;"Jalan Yos Sudarso No. 457
Jayapura, NT 17847";+62 (068) 401 3382;5,071E+15;17847;18;3;Sumatera Barat, 25-04-1990;33;Menikah;perempuan;surat panggilan;38;52500000;104000000;637202;50;6
Joseph Gonzales;"Jl. Pasir Koja No. 26
Kupang, GO 34992";+62 (0156) 345 4482;3,2317E+15;34992;4;14;Bali, 19-08-1964;59;Cerai hidup;perempuan;surat panggilan;28;47500000;279000000;577092;17;9
Gerald Cameron;"Jl. Joyoboyo No. 868
Makassar, JB 55597";+62-041-179-9755;1,71617E+15;55597;12;6;DI Yogyakarta, 04-01-1973;50;Belum menikah;perempuan;surat panggilan;39;311000000;439000000;399823;71;7
Jacob Barry;"Gang Moch. Ramdan No. 19
Palopo, BB 15178";+62-03-422-6074;8,31043E+15;15178;13;18;Kalimantan Selatan, 17-04-1988;35;Cerai mati;laki-laki;surat panggilan;32;265000000;478000000;640666;55;9
Donna Miller DVM;"Gang Raya Ujungberung No. 4
Prabumulih, ST 68804";+62 (903) 850-0656;1,21136E+15;68804;7;16;Maluku, 09-04-1987;36;Menikah;perempuan;surat panggilan;32;186000000;434500000;388802;43;8
David Martin;"Gg. Sadang Serang No. 64
Palopo, Nusa Tenggara Timur 49712";+62-057-702-9962;6,1004E+15;49712;6;2;Maluku Utara, 03-05-1997;26;Cerai mati;perempuan;surat panggilan;23;166000000;218500000;251758;76;6
Carla Moreno;"Gg. Suniaraja No. 114
Palembang, PB 83480";+62 (043) 848 1954;5,89909E+15;83480;7;9;Riau, 28-05-1964;59;Cerai mati;perempuan;surat panggilan;36;44500000;100500000;714525;44;8
Stephanie Medina;"Gg. Pelajar Pejuang No. 458
Sabang, SB 54441";+62 (808) 718-3201;4,1092E+15;54441;15;17;Sumatera Barat, 22-09-1975;48;Belum menikah;perempuan;surat panggilan;38;141000000;394000000;586565;36;8
Carolyn Allison;"Jl. Tebet Barat Dalam No. 373
Kota Administrasi Jakarta Timur, Aceh 10002";+62 (52) 559-3028;4,07398E+15;10002;13;1;Kalimantan Timur, 18-09-2000;23;Menikah;laki-laki;surat panggilan;30;50500000;162000000;351175;31;8
Bryce Morris;"Gg. Setiabudhi No. 419
Semarang, SR 59885";+62 (36) 391-8812;1,94597E+15;59885;7;13;Papua, 21-07-1969;54;Cerai mati;laki-laki;surat panggilan;28;127000000;385500000;491355;33;8
Thomas Mendez;"Gg. Pasteur No. 7
Serang, LA 14812";+62 (0068) 908 4851;4,80209E+15;14812;9;9;Kalimantan Barat, 13-10-1974;49;Cerai hidup;perempuan;surat panggilan;30;45500000;110000000;328588;41;9
Samantha Morgan;"Gg. Gegerkalong Hilir No. 511
Banjar, Kalimantan Tengah 68058";+62 (339) 888-4250;6,25335E+15;68058;13;6;Nusa Tenggara Barat, 11-02-1983;40;Cerai mati;laki-laki;surat panggilan;20;52500000;57000000;209432;92;6
Hector Thomas;"Gang Sentot Alibasa No. 9
Tanjungpinang, SS 89599";+62 (0326) 683-1337;8,72472E+15;89599;10;14;Jawa Tengah, 29-01-1968;55;Menikah;laki-laki;surat panggilan;26;30500000;33500000;430089;91;6
Noah Mills;"Jalan Ciwastra No. 40
Metro, Jawa Timur 53794";+62 (097) 530-5219;6,95266E+15;53794;1;9;DI Yogyakarta, 20-08-1998;25;Cerai hidup;laki-laki;surat panggilan;36;385500000;425000000;619920;91;7
Lisa Armstrong;"Gang Moch. Ramdan No. 4
Batam, Kalimantan Timur 27369";+62-90-502-0571;5,57257E+15;27369;15;10;Papua, 26-03-1989;34;Cerai mati;laki-laki;surat panggilan;28;55000000;75500000;307383;73;6
Kimberly Wells;"Gg. Waringin No. 82
Bandar Lampung, NB 53513";+62 (070) 287 5329;1,98682E+15;53513;16;10;Kalimantan Barat, 01-05-1973;50;Cerai mati;laki-laki;surat panggilan;33;16500000;432500000;379379;4;9
Christine Burton;"Gang Dipenogoro No. 80
Cilegon, Kalimantan Selatan 13367";+62-0998-828-4699;6,38826E+15;13367;11;3;Lampung, 25-01-1972;51;Cerai mati;perempuan;panggilan;42;244000000;337000000;982391;72;14
Michael Steele;"Jl. Rajawali Barat No. 355
Yogyakarta, JI 61207";+62 (0032) 289-4485;6,50173E+15;61207;10;7;DI Yogyakarta, 25-08-1981;42;Belum menikah;laki-laki;panggilan;41;347000000;546500000;1074286;63;12
Jose Valencia;"Gg. Astana Anyar No. 130
Surakarta, AC 30433";+62 (0050) 566-2808;6,06979E+15;30433;5;4;Sulawesi Tengah, 25-10-1991;32;Menikah;laki-laki;panggilan;45;404000000;688500000;1554057;59;14
Joshua Lane;"Jl. H.J Maemunah No. 17
Metro, SN 32646";+62 (0089) 191 4140;4,00446E+15;32646;3;9;Papua, 19-06-1980;43;Menikah;laki-laki;panggilan;45;373000000;718500000;1787752;52;13
Diane Davis;"Gg. Kebonjati No. 598
Cilegon, PA 85200";+62 (005) 589-4424;7,26831E+15;85200;20;13;Sulawesi Tengah, 23-03-1961;62;Belum menikah;perempuan;panggilan;30;125000000;171000000;804690;73;11
Adam White;"Jl. Sukajadi No. 4
Bima, PB 97218";+62 (054) 832-1162;3,34965E+15;97218;15;12;Maluku Utara, 13-04-1992;31;Belum menikah;laki-laki;panggilan;44;148000000;673000000;1589458;22;13
Karen Andrade;"Gg. Astana Anyar No. 33
Tarakan, Papua Barat 80641";+62-0449-104-5076;2,59577E+15;80641;4;12;Kalimantan Barat, 01-07-1962;61;Cerai hidup;perempuan;panggilan;39;373000000;680500000;1171146;55;12
Patricia Willis;"Jl. Siliwangi No. 041
Batu, Kalimantan Timur 91666";+62 (912) 705-6456;5,58707E+15;91666;3;2;Kepulauan Bangka Belitung, 25-09-1976;47;Cerai hidup;perempuan;panggilan;46;118000000;140000000;1615002;84;11
Stephanie Smith;"Jl. Wonoayu No. 35
Tangerang, Sulawesi Utara 66261";+62-83-211-1712;2,06553E+15;66261;4;3;Kalimantan Utara, 14-05-1970;53;Cerai hidup;laki-laki;panggilan;46;162000000;899000000;1397757;18;14
Emily Mccormick;"Gg. Raya Ujungberung No. 2
Serang, BT 57868";+62 (191) 541 9956;3,3645E+15;57868;15;20;Papua Barat, 03-08-1991;32;Menikah;laki-laki;panggilan;31;32000000;350500000;634605;9;13
Jennifer Miller;"Gang Sukabumi No. 2
Pematangsiantar, JA 79933";+62 (0485) 462 8841;2,36879E+15;79933;14;15;Kalimantan Selatan, 08-07-1964;59;Cerai mati;laki-laki;panggilan;30;299000000;496000000;1024958;60;14
Brian Ballard;"Jl. S. Parman No. 213
Tegal, PA 36891";+62-796-692-7338;7,98187E+15;36891;7;8;Kalimantan Utara, 20-10-1967;56;Cerai hidup;perempuan;panggilan;36;273000000;710000000;1075995;38;11
Mario Sellers;"Jalan Asia Afrika No. 648
Meulaboh, Riau 88958";+62 (0476) 752-4665;3,52592E+15;88958;1;18;Sulawesi Barat, 09-04-1979;44;Belum menikah;perempuan;panggilan;37;433000000;631500000;1099231;69;13
Jennifer Harris;"Jalan Jayawijaya No. 3
Tanjungpinang, DKI Jakarta 56028";+62 (564) 514-1142;2,86907E+15;56028;16;20;Maluku Utara, 27-08-1994;29;Cerai hidup;laki-laki;panggilan;36;288000000;658000000;721334;44;13
Bryan Calderon;"Jalan Pasteur No. 75
Parepare, JK 01393";+62 (0296) 115 2292;8,00855E+15;1393;7;15;Jawa Tengah, 20-09-1983;40;Menikah;perempuan;panggilan;44;370000000;516000000;1030712;72;13
Mark Smith;"Gang Peta No. 19
Tarakan, Maluku 82133";+62-0509-277-5781;6,98521E+15;82133;12;9;Gorontalo, 26-12-1970;53;Cerai mati;laki-laki;panggilan;46;214000000;414000000;1662889;52;14
Maria Davis;"Jl. Lembong No. 4
Sungai Penuh, Banten 61959";+62 (10) 613 6223;9,91138E+15;61959;14;9;Bengkulu, 23-09-1965;58;Cerai hidup;perempuan;panggilan;48;450000000;814000000;992997;55;11
John Rosario;"Jl. BKR No. 08
Sawahlunto, AC 76636";+62-028-094-3068;3,75645E+15;76636;16;18;Papua Barat, 10-12-1966;57;Belum menikah;laki-laki;panggilan;47;404000000;682500000;1083621;59;13
James Walker;"Jl. Dipatiukur No. 385
Bukittinggi, KT 84573";+62-50-729-3305;4,21471E+15;84573;6;3;Sumatera Utara, 26-01-1969;54;Belum menikah;perempuan;panggilan;30;279000000;540000000;631098;52;14
Jill Mcguire;"Gg. Pasir Koja No. 012
Sabang, Kalimantan Barat 02809";+62-0218-050-2423;5,74225E+15;2809;15;6;Kalimantan Selatan, 03-04-1995;28;Menikah;laki-laki;panggilan;33;570000000;605500000;988802;94;14
Tracy Hernandez;"Gang Pasir Koja No. 22
Tegal, KB 58170";+62 (070) 848-0286;1,30599E+15;58170;11;16;Maluku, 15-04-1977;46;Belum menikah;laki-laki;panggilan;44;122000000;252000000;1738508;48;11
Linda Hodges;"Gg. M.H Thamrin No. 79
Banjarmasin, Gorontalo 20121";+62 (15) 953 6905;3,29804E+15;20121;7;16;Sumatera Utara, 20-01-1963;60;Belum menikah;perempuan;panggilan;48;99000000;256000000;1373514;39;14
Brandi Mclaughlin;"Jl. Rawamangun No. 26
Bogor, Kepulauan Bangka Belitung 07949";+62 (871) 723 4343;1,95137E+15;7949;2;3;DKI Jakarta, 01-06-1970;53;Menikah;laki-laki;panggilan;31;474000000;560500000;652453;85;12
Brandon Smith;"Gang M.T Haryono No. 14
Tarakan, Papua 97806";+62-0253-724-9504;1,68993E+15;97806;3;16;Kepulauan Bangka Belitung, 19-04-1982;41;Belum menikah;laki-laki;panggilan;42;395000000;641000000;883248;62;14
Madison Pruitt;"Gang Sukajadi No. 7
Tegal, Maluku Utara 59488";+62 (0537) 485-4052;9,88651E+15;59488;10;7;DKI Jakarta, 28-10-1998;25;Cerai mati;laki-laki;panggilan;32;331000000;377000000;649309;88;11
Timothy White;"Jl. Sadang Serang No. 81
Singkawang, Papua Barat 59009";+62 (50) 304-0131;7,44124E+15;59009;15;4;Kepulauan Riau, 27-09-1997;26;Cerai mati;laki-laki;panggilan;47;467000000;673500000;943919;69;13
Julie Crawford;"Jalan Cikutra Timur No. 975
Serang, Sulawesi Utara 11721";+62 (00) 245-5572;6,43027E+15;11721;18;5;Kalimantan Tengah, 27-11-1963;60;Belum menikah;perempuan;panggilan;33;137000000;261500000;845355;52;14
Patricia Sims;"Gang Raya Setiabudhi No. 88
Sawahlunto, SG 98807";+62-001-466-8576;4,2018E+15;98807;20;4;Kepulauan Riau, 28-02-1980;43;Cerai mati;perempuan;panggilan;49;209000000;335500000;1933137;62;14
Barbara Fisher;"Gg. Pasteur No. 0
Pontianak, Papua 94205";+62 (677) 199 0304;1,15097E+15;94205;1;11;Sulawesi Barat, 30-01-1962;61;Belum menikah;perempuan;panggilan;46;47000000;193000000;1421979;24;11
Robin Mccullough;"Jl. Dipenogoro No. 5
Batu, LA 24721";+62-677-597-4370;4,72555E+15;24721;16;2;Bali, 02-10-1978;45;Belum menikah;laki-laki;panggilan;41;259000000;735500000;917013;35;13
Tammy Cross;"Jl. Sukajadi No. 789
Tangerang, Kepulauan Riau 47061";+62-702-692-7727;8,08101E+15;47061;13;6;Sumatera Utara, 03-07-1983;40;Cerai hidup;laki-laki;panggilan;32;88000000;155000000;661073;57;14
Angela White PhD;"Gg. Antapani Lama No. 277
Sukabumi, PB 94158";+62 (096) 796-0832;2,00314E+15;94158;1;2;Kalimantan Barat, 08-09-1968;55;Menikah;perempuan;panggilan;48;61000000;99000000;1210386;62;11
Elizabeth Rodriguez;"Jalan Ronggowarsito No. 54
Kotamobagu, Nusa Tenggara Barat 99727";+62-027-008-7717;1,96886E+15;99727;9;11;Maluku, 28-08-1999;24;Belum menikah;perempuan;panggilan;40;79000000;140000000;894778;56;14
Mark Phillips;"Jl. Pacuan Kuda No. 841
Banjar, KI 83191";+62 (053) 782 0169;8,02802E+15;83191;18;11;Sulawesi Selatan, 26-04-1993;30;Menikah;perempuan;panggilan;40;125000000;442000000;1311793;28;11
Yolanda Finley;"Jalan Abdul Muis No. 9
Mojokerto, NB 93093";+62 (569) 968-4350;3,55367E+15;93093;6;4;Sulawesi Selatan, 26-10-1994;29;Cerai mati;perempuan;panggilan;46;93000000;117000000;1008090;79;14
Natalie Perez;"Jalan Tebet Barat Dalam No. 2
Bandung, GO 35222";+62-032-513-5405;4,45015E+15;35222;2;15;Nusa Tenggara Timur, 11-06-1971;52;Menikah;laki-laki;panggilan;34;202000000;250000000;990586;81;11
Amy Frye;"Gg. Dipenogoro No. 728
Sorong, NT 49287";+62-0880-550-3412;1,21332E+15;49287;16;19;Jawa Barat, 21-07-1997;26;Cerai mati;laki-laki;panggilan;41;48000000;311500000;1258994;15;14
Brittney Smith;"Gang Stasiun Wonokromo No. 48
Binjai, Lampung 33968";+62 (032) 967-6582;1,58253E+15;33968;10;13;Riau, 03-11-2000;23;Menikah;laki-laki;panggilan;45;317000000;527500000;1361007;60;13
Matthew Clark;"Jl. Tebet Barat Dalam No. 65
Tanjungbalai, Sulawesi Selatan 26376";+62 (918) 879-7261;7,95812E+15;26376;18;19;Riau, 23-01-1965;58;Cerai hidup;laki-laki;panggilan;48;112000000;124000000;1783448;90;12
Stephen Aguilar;"Jl. Gegerkalong Hilir No. 353
Purwokerto, JT 01190";+62-95-357-0691;9,98116E+15;1190;19;13;Gorontalo, 02-01-1987;36;Cerai mati;perempuan;panggilan;38;358000000;501000000;1261693;71;13
Michelle Martin;"Gang Dr. Djunjunan No. 271
Tarakan, Lampung 14516";+62 (038) 480-4361;2,48835E+15;14516;14;10;Papua Barat, 03-05-1984;39;Belum menikah;laki-laki;panggilan;44;153000000;864000000;1550435;18;14
Anna Lin;"Gg. Cikutra Timur No. 56
Manado, Sumatera Selatan 73373";+62-0638-202-1934;8,4399E+15;73373;11;15;Maluku, 04-10-1975;48;Belum menikah;laki-laki;panggilan;49;185000000;648500000;1182193;29;11
Eric Murray;"Gg. HOS. Cokroaminoto No. 378
Prabumulih, JA 95966";+62 (0344) 581 0968;4,05398E+15;95966;7;18;Papua, 30-12-1961;62;Cerai mati;perempuan;panggilan;35;50000000;52500000;1326159;95;13
Eric Hooper;"Gang Rajawali Barat No. 774
Kota Administrasi Jakarta Selatan, BA 06654";+62-0662-373-8855;6,43123E+15;6654;13;15;Sumatera Utara, 18-09-1964;59;Menikah;perempuan;panggilan;45;80000000;211500000;1298930;38;14
Elizabeth Willis;"Jalan BKR No. 4
Tual, KS 42870";+62 (982) 243-5856;3,50982E+15;42870;16;13;Banten, 15-10-1982;41;Cerai mati;perempuan;panggilan;32;149000000;251000000;897809;59;14
Eric Smith;"Gang Dipenogoro No. 19
Subulussalam, Kalimantan Selatan 07572";+62-026-720-8166;2,53058E+15;7572;7;10;Sulawesi Utara, 23-03-1960;63;Cerai mati;perempuan;panggilan;39;216000000;330500000;794578;65;12
Joshua Mckenzie;"Gang Rajawali Barat No. 8
Serang, Kepulauan Bangka Belitung 49526";+62 (184) 435 7004;4,91791E+15;49526;5;3;Kalimantan Timur, 05-03-1997;26;Menikah;perempuan;panggilan;49;159000000;184500000;1934347;86;13
Jessica Figueroa;"Gg. Jayawijaya No. 4
Langsa, Sulawesi Selatan 50520";+62 (0871) 582-1416;4,46871E+15;50520;12;15;Maluku Utara, 03-06-1987;36;Cerai mati;perempuan;panggilan;35;185000000;316500000;1289053;58;11
Jeremy Reyes;"Gg. Sentot Alibasa No. 1
Tanjungpinang, Sumatera Barat 74381";+62-733-145-5281;1,85724E+15;74381;18;6;Maluku Utara, 11-06-1999;24;Cerai mati;perempuan;panggilan;44;100000000;856000000;920808;12;13
Amy Levine;"Gang Jend. Sudirman No. 42
Bandar Lampung, Sulawesi Utara 75761";+62 (038) 225-1509;1,81331E+15;75761;15;8;Kalimantan Barat, 23-02-1962;61;Cerai mati;laki-laki;panggilan;47;525000000;914500000;1751428;57;12
Nicholas Li;"Gg. Raya Setiabudhi No. 5
Ambon, RI 28237";+62 (300) 346 4671;3,55343E+15;28237;16;19;Jawa Timur, 02-04-1968;55;Cerai hidup;perempuan;panggilan;33;566000000;565500000;1019367;100;14
Alicia Young;"Gang Cempaka No. 881
Subulussalam, Sulawesi Tenggara 40886";+62-63-758-9674;6,55212E+15;40886;16;15;Gorontalo, 09-04-1973;50;Cerai hidup;perempuan;panggilan;38;329000000;516000000;1434137;64;14
Brian Jarvis;"Jl. H.J Maemunah No. 43
Sabang, Kepulauan Bangka Belitung 37891";+62 (0261) 554-3872;2,62958E+15;37891;2;16;Lampung, 30-08-1999;24;Cerai mati;perempuan;panggilan;36;82000000;141000000;1236144;58;12
Shawn Gonzalez;"Gg. Moch. Ramdan No. 9
Cilegon, NT 55739";+62 (08) 603 2616;3,02317E+15;55739;15;15;Riau, 25-05-1990;33;Cerai mati;perempuan;panggilan;32;229000000;422000000;1141351;54;11
Dawn Hamilton;"Gang Pelajar Pejuang No. 8
Batam, KI 52583";+62 (61) 318 4559;9,38581E+15;52583;5;3;Sulawesi Utara, 23-10-1990;33;Belum menikah;perempuan;panggilan;48;124000000;352000000;1373732;35;11
Diane Bray;"Gang Dipatiukur No. 27
Denpasar, Kalimantan Selatan 79712";+62 (949) 247-8733;4,19595E+15;79712;1;9;Maluku, 30-01-1994;29;Cerai hidup;perempuan;panggilan;34;37000000;548000000;835787;7;13
Dylan Taylor;"Jalan HOS. Cokroaminoto No. 8
Ambon, KB 69013";+62 (47) 018-2172;9,55615E+15;69013;7;15;Jawa Barat, 01-07-2000;23;Cerai mati;perempuan;panggilan;42;151000000;577000000;1083575;26;11
Kara Reynolds;"Jl. Kapten Muslihat No. 5
Tidore Kepulauan, JK 70919";+62-075-914-6731;3,19867E+15;70919;18;18;Kepulauan Bangka Belitung, 20-08-1993;30;Cerai mati;perempuan;panggilan;44;371000000;600000000;1024177;62;11
Sandra Duran;"Jl. Monginsidi No. 333
Batam, Papua 64271";+62-063-820-6272;3,35546E+15;64271;17;5;Riau, 22-11-1989;34;Belum menikah;perempuan;panggilan;38;195000000;250000000;1054901;78;13
Fernando Black;"Gang Jend. Sudirman No. 798
Bandar Lampung, SN 13197";+62 (239) 056-7507;2,04264E+15;13197;13;3;Kepulauan Bangka Belitung, 06-10-1989;34;Cerai mati;perempuan;panggilan;35;51000000;449500000;878246;11;13
Randy White;"Gang Asia Afrika No. 5
Bima, Jambi 26121";+62 (490) 435-3270;1,60989E+15;26121;10;11;DKI Jakarta, 09-05-1966;57;Cerai hidup;perempuan;panggilan;40;292000000;483000000;1368795;60;13
Natalie Decker;"Jl. Otto Iskandardinata No. 512
Banda Aceh, PB 94138";+62 (692) 058-3714;3,86158E+15;94138;9;19;Jawa Tengah, 12-12-1987;36;Belum menikah;perempuan;panggilan;41;101000000;450500000;1508568;22;11
Robert Robbins;"Jl. Jayawijaya No. 5
Depok, KB 90086";+62-10-861-5875;9,94643E+15;90086;5;19;Kalimantan Timur, 26-04-1973;50;Menikah;perempuan;panggilan;46;403000000;539000000;1694210;75;12
Angela Stewart;"Jalan Sukajadi No. 315
Sawahlunto, Riau 94813";+62-076-388-0724;2,56064E+15;94813;19;16;Sulawesi Selatan, 13-02-1992;31;Belum menikah;laki-laki;panggilan;33;44000000;54500000;1063546;81;14
Bradley Sheppard;"Jl. Cihampelas No. 3
Prabumulih, SB 53808";+62-092-522-3498;2,65939E+15;53808;9;2;Sumatera Utara, 15-02-1999;24;Belum menikah;perempuan;panggilan;34;36000000;241000000;1387161;15;11
Andrew Gray;"Jalan Medokan Ayu No. 90
Lhokseumawe, Nusa Tenggara Timur 91594";+62-39-586-2455;1,82751E+15;91594;5;17;DI Yogyakarta, 07-05-1979;44;Menikah;perempuan;panggilan;38;79000000;740000000;814680;11;13
Alicia Thomas;"Jl. Cikutra Barat No. 85
Tual, Nusa Tenggara Timur 15831";+62 (011) 160-2052;7,63315E+15;15831;9;16;Sulawesi Tengah, 11-03-1966;57;Cerai hidup;perempuan;panggilan;46;571000000;629000000;1778762;91;12
Kathy Miller;"Jalan Lembong No. 0
Padang, MU 55110";+62 (061) 667-3018;3,32135E+15;55110;7;9;Kalimantan Selatan, 03-02-1991;32;Menikah;perempuan;panggilan;49;151000000;973500000;1591075;16;13
Caitlin Hoffman;"Jalan R.E Martadinata No. 12
Singkawang, PB 06019";+62-529-971-2043;8,63816E+15;6019;13;11;Nusa Tenggara Timur, 16-12-1977;46;Belum menikah;laki-laki;panggilan;33;373000000;419500000;876615;89;13
Whitney Williams;"Jalan Tubagus Ismail No. 7
Probolinggo, Kepulauan Riau 26265";+62-042-160-7213;4,01262E+15;26265;5;16;Kalimantan Barat, 24-11-1960;63;Cerai hidup;perempuan;panggilan;45;142000000;242500000;1245892;59;12
Gary Martinez;"Jl. M.H Thamrin No. 66
Kediri, SS 23505";+62-12-011-4050;7,5862E+15;23505;8;2;Maluku Utara, 22-04-1975;48;Cerai hidup;perempuan;panggilan;43;75000000;91500000;1051268;82;11
Colleen Oconnell;"Jl. Lembong No. 373
Bontang, PB 76437";+62 (028) 932-3071;7,84423E+15;76437;11;11;Papua, 27-01-1971;52;Cerai mati;laki-laki;panggilan;32;112000000;542000000;850741;21;12
Michael Adams;"Gang Astana Anyar No. 4
Palembang, NB 43271";+62-551-597-2234;4,42637E+15;43271;14;10;Papua Barat, 19-12-1986;37;Menikah;laki-laki;panggilan;32;195000000;620000000;814745;31;13
Courtney Benson DVM;"Jalan M.T Haryono No. 07
Malang, Sulawesi Barat 94470";+62 (141) 908 8876;6,29459E+15;94470;12;7;Gorontalo, 23-07-1983;40;Menikah;perempuan;panggilan;37;116000000;732500000;1089016;16;14
Heather Dorsey;"Gg. Sukabumi No. 28
Tarakan, Papua 55611";+62 (004) 009 2004;7,05954E+15;55611;13;18;Kalimantan Utara, 20-01-1995;28;Menikah;perempuan;panggilan;40;163000000;221000000;1126115;74;14
Olivia Sanchez MD;"Gang Suniaraja No. 73
Denpasar, Nusa Tenggara Timur 90281";+62-152-135-3304;8,88362E+15;90281;16;15;Riau, 27-08-1973;50;Cerai mati;laki-laki;panggilan;43;422000000;705500000;1139254;60;11
Miguel Adkins;"Gang Ronggowarsito No. 629
Bogor, JB 75253";+62 (91) 334-1871;9,61042E+15;75253;12;14;Banten, 05-01-1969;54;Cerai mati;laki-laki;panggilan;32;228000000;275000000;1156180;83;13
Adam Watson;"Gang Kendalsari No. 743
Pagaralam, Aceh 49126";+62 (65) 480-1988;5,243E+15;49126;18;13;Sumatera Utara, 31-07-1975;48;Cerai mati;laki-laki;panggilan;40;133000000;354000000;844077;38;11
Joshua Moore;"Jl. Sadang Serang No. 921
Banjarmasin, Kalimantan Tengah 31682";+62 (677) 392-1046;9,79922E+15;31682;18;11;Riau, 05-03-1983;40;Cerai hidup;laki-laki;panggilan;37;333000000;461500000;1508111;72;11
Heather Hanna;"Gang Siliwangi No. 4
Sukabumi, Maluku 44068";+62 (14) 586 5365;8,34403E+15;44068;15;4;Kalimantan Utara, 23-03-1985;38;Cerai hidup;perempuan;panggilan;40;120000000;469000000;1218793;26;12
Kim Ferguson;"Gang Surapati No. 109
Pariaman, Jawa Tengah 95729";+62 (49) 449 5009;7,85946E+15;95729;10;14;Kepulauan Bangka Belitung, 07-09-1995;28;Menikah;laki-laki;panggilan;32;114000000;531000000;732119;21;14
Sherry Thompson;"Gang Kendalsari No. 852
Meulaboh, Kalimantan Selatan 15159";+62 (320) 525-7702;2,5761E+15;15159;13;1;Jawa Timur, 18-08-1962;61;Cerai mati;laki-laki;panggilan;36;345000000;637000000;1055692;54;14
Julie Cooper;"Jalan Sentot Alibasa No. 89
Sibolga, MA 77704";+62-0992-935-2287;1,88471E+15;77704;2;10;Jawa Tengah, 07-07-1994;29;Belum menikah;laki-laki;panggilan;43;734000000;849500000;1260842;86;12
Stephanie Brooks;"Gang Bangka Raya No. 936
Tual, GO 81188";+62-059-832-6774;5,91054E+15;81188;15;16;Sumatera Utara, 09-05-2000;23;Belum menikah;perempuan;panggilan;36;452000000;586000000;775365;77;14
