debtor_name,debtor_gender,debtor_age,debtor_marital_status,number_of_number_of_dependents,debtor_education_level,employment_year,monthly_income,monthly_expenses,asset_value,down_payment_percentage,paid_down_payment,loan_amount,interest_rate,tenor,monthly_payment,loan_income_expenses_ratio,total_capital,clasify_total_capital,ses,default_risk,loan_purpose,default_score,default_potential,recommendation
"R. Jelita Waluyo, S.IP",perempuan,39,Sudah menikah,4,SMA,2,6000000,2700000,260000000.0,0.2,70000000,280000000,6,72,4640409,140.62,139600000.0,Lemah,Tinggi,Sangat Beresiko,kredit usaha,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4640409 dan bunga pertahun sebesar 6%."
Tgk. Virman Puspita,perempuan,46,Belum menikah,0,D4,6,24000000,6400000,350000000.0,0.2,100000000,400000000,4,72,6258073,35.56,540200000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 6258073 dan bunga pertahun sebesar 4%."
Emong Tamba,perempuan,31,Sudah menikah,1,SMA,5,6000000,2900000,110000000.0,0.15,52500000,297500000,6,72,4930434,159.05,125200000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 4930434 dan bunga pertahun sebesar 6%."
"R.M. Mursinin Tampubolon, S.E.I",perempuan,45,Belum menikah,0,S1,9,19500000,9400000,300000000.0,0.25,125000000,375000000,12,120,5380161,53.27,394200000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 5380161 dan bunga pertahun sebesar 12%."
"Umaya Padmasari, M.TI.",perempuan,32,Sudah menikah,1,D3,5,10000000,2800000,80000000.0,0.2,600000,2400000,4,72,37548,0.52,219400000.0,Cukup,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 37548 dan bunga pertahun sebesar 4%."
Mahesa Mangunsong,laki-laki,47,Belum menikah,0,S1,9,18500000,3700000,620000000.0,0.2,60000000,240000000,11,48,6202925,41.91,470600000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,850,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 6202925 dan bunga pertahun sebesar 11%."
R.A. Ina Dabukke,laki-laki,31,Sudah menikah,4,SMP,5,6500000,3900000,80000000.0,0.2,16000000,64000000,7,48,1532560,58.94,122200000.0,Lemah,Sangat Rendah,Beresiko,kredit kendaraan bermotor,2000,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1532560 dan bunga pertahun sebesar 7%."
Tgk. Mustika Lazuardi,laki-laki,45,Belum menikah,0,SMA,6,14000000,5600000,290000000.0,0.2,60000000,240000000,8,48,5859101,69.75,303800000.0,Kuat,Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5859101 dan bunga pertahun sebesar 8%."
dr. Ratna Pratiwi,perempuan,29,Sudah menikah,1,S1,3,13500000,3300000,690000000.0,0.15,450000,2550000,6,72,42261,0.41,356400000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 42261 dan bunga pertahun sebesar 6%."
Salman Saefullah,laki-laki,48,Belum menikah,0,S1,6,27500000,10200000,540000000.0,0.3,240000000,560000000,7,120,6502075,37.58,597600000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit properti,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 560000000 dengan cicilan per bulan sebesar 6502075 dan bunga pertahun sebesar 7%."
Jaeman Mustofa,laki-laki,42,Belum menikah,0,S2,5,27000000,9400000,640000000.0,0.2,600000,2400000,3,72,36465,0.21,604200000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 36465 dan bunga pertahun sebesar 3%."
Gadang Oktaviani,perempuan,30,Belum menikah,0,SMA,4,7500000,4100000,150000000.0,0.3,150000000,350000000,11,120,4821250,141.8,149800000.0,Lemah,Sangat Rendah,Sangat Beresiko,kredit properti,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4821250 dan bunga pertahun sebesar 11%."
"Maryanto Utama, S.IP",perempuan,42,Sudah menikah,5,SMP,6,14500000,4900000,290000000.0,0.3,150000000,350000000,8,120,4246466,44.23,324200000.0,Kuat,Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4246466 dan bunga pertahun sebesar 8%."
"Tgk. Nardi Ramadan, S.Gz",laki-laki,37,Sudah menikah,4,SMA,5,8000000,4000000,80000000.0,0.2,16000000,64000000,5,48,1473875,36.85,157000000.0,Cukup,Menengah,Netral,kredit kendaraan bermotor,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1473875 dan bunga pertahun sebesar 5%."
"Karimah Prasetya, S.IP",laki-laki,47,Belum menikah,0,SMA,2,3000000,1600000,210000000.0,0.2,16000000,64000000,8,48,1562427,111.6,75800000.0,Sangat Lemah,Sangat Rendah,Sangat Beresiko,kredit kendaraan bermotor,2350,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1562427 dan bunga pertahun sebesar 8%."
Mahesa Wastuti,laki-laki,33,Belum menikah,0,D4,8,37500000,14800000,360000000.0,0.2,100000000,400000000,4,72,6258073,27.57,766400000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 6258073 dan bunga pertahun sebesar 4%."
Hadi Widiastuti,perempuan,54,Sudah menikah,2,D3,4,9500000,4400000,180000000.0,0.3,150000000,350000000,11,120,4821250,94.53,197200000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4821250 dan bunga pertahun sebesar 11%."
"Dt. Saka Mansur, S.Ked",perempuan,26,Belum menikah,0,S2,0,13000000,6200000,390000000.0,0.2,60000000,240000000,5,48,5527030,81.28,276600000.0,Kuat,Tinggi,Sangat Beresiko,kredit kendaraan bermotor,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5527030 dan bunga pertahun sebesar 5%."
"Dr. Najam Pradana, S.Kom",perempuan,33,Sudah menikah,3,S1,2,5500000,1900000,220000000.0,0.3,150000000,350000000,11,120,4821250,133.92,133200000.0,Lemah,Menengah,Sangat Beresiko,kredit properti,2150,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4821250 dan bunga pertahun sebesar 11%."
Prabu Rahayu,perempuan,41,Belum menikah,0,S1,5,7500000,1700000,540000000.0,0.15,52500000,297500000,10,72,5511437,95.02,218600000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit usaha,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 5511437 dan bunga pertahun sebesar 10%."
Elvina Wacana,perempuan,38,Sudah menikah,1,S2,4,24000000,5000000,680000000.0,0.15,450000,2550000,6,72,42261,0.22,588000000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 42261 dan bunga pertahun sebesar 6%."
Queen Januar,perempuan,27,Belum menikah,0,D3,4,7000000,2700000,230000000.0,0.25,20000000,60000000,5,48,1381758,32.13,162600000.0,Cukup,Menengah,Baik,kredit kendaraan bermotor,600,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 60000000 dengan cicilan per bulan sebesar 1381758 dan bunga pertahun sebesar 5%."
"Kamaria Pratama, M.Pd",laki-laki,42,Belum menikah,0,S1,7,23000000,7300000,130000000.0,0.2,600000,2400000,4,72,37548,0.24,484400000.0,Sangat Kuat,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 37548 dan bunga pertahun sebesar 4%."
Lantar Hassanah,perempuan,50,Belum menikah,0,SMA,3,4500000,1400000,230000000.0,0.15,52500000,297500000,6,72,4930434,159.05,117200000.0,Lemah,Tinggi,Sangat Beresiko,kredit usaha,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 4930434 dan bunga pertahun sebesar 6%."
Limar Wibowo,perempuan,44,Sudah menikah,3,D4,8,18000000,8200000,240000000.0,0.25,125000000,375000000,6,120,4163269,42.48,365600000.0,Sangat Kuat,Menengah,Beresiko,kredit properti,1400,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 4163269 dan bunga pertahun sebesar 6%."
Cayadi Palastri,perempuan,26,Sudah menikah,5,S1,2,6000000,2000000,150000000.0,0.2,70000000,280000000,5,72,4509381,112.73,137000000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2150,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4509381 dan bunga pertahun sebesar 5%."
Dadap Samosir,perempuan,26,Belum menikah,0,S2,0,17500000,10400000,720000000.0,0.2,60000000,240000000,7,48,5747099,80.95,367200000.0,Sangat Kuat,Sangat Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1750,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5747099 dan bunga pertahun sebesar 7%."
Warsa Nainggolan,perempuan,38,Belum menikah,0,S2,7,45000000,10500000,350000000.0,0.15,300000000,1700000000,5,300,9938031,28.81,996000000.0,Sangat Kuat,Tinggi,Netral,kredit usaha,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 1700000000 dengan cicilan per bulan sebesar 9938031 dan bunga pertahun sebesar 5%."
Jarwi Iswahyudi,perempuan,27,Belum menikah,0,D4,3,16000000,8100000,450000000.0,0.15,450000,2550000,10,72,47241,0.6,334800000.0,Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 47241 dan bunga pertahun sebesar 10%."
Jasmin Uyainah,laki-laki,19,Cerai Mati,3,SMA,0,4000000,1700000,110000000.0,0.2,16000000,64000000,7,48,1532560,66.63,86600000.0,Sangat Lemah,Menengah,Sangat Beresiko,kredit kendaraan bermotor,2000,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1532560 dan bunga pertahun sebesar 7%."
Mitra Maheswara,perempuan,33,Belum menikah,0,S2,2,19000000,4400000,660000000.0,0.3,150000000,350000000,9,120,4433652,30.37,471200000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit properti,1000,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4433652 dan bunga pertahun sebesar 9%."
Tgk. Wirda Yuniar,perempuan,29,Sudah menikah,1,S2,2,14000000,4800000,910000000.0,0.2,60000000,240000000,9,48,5972410,64.92,371400000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,1050,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5972410 dan bunga pertahun sebesar 9%."
Alika Rajasa,perempuan,32,Sudah menikah,4,S2,1,11000000,3600000,610000000.0,0.2,60000000,240000000,5,48,5527030,74.69,282800000.0,Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,1350,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5527030 dan bunga pertahun sebesar 5%."
T. Adiarja Pradipta,laki-laki,24,Sudah menikah,3,D4,0,10500000,4800000,680000000.0,0.15,450000,2550000,3,72,38744,0.68,262400000.0,Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 38744 dan bunga pertahun sebesar 3%."
Jaiman Sudiati,perempuan,22,Cerai Mati,0,SMA,2,5500000,1900000,80000000.0,0.25,125000000,375000000,9,120,4750342,131.95,119200000.0,Lemah,Rendah,Sangat Beresiko,kredit properti,2400,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 4750342 dan bunga pertahun sebesar 9%."
"Zelaya Jailani, M.Kom.",perempuan,39,Belum menikah,0,S3,7,35500000,13400000,910000000.0,0.25,200000000,600000000,8,120,7279656,32.94,789200000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit properti,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 600000000 dengan cicilan per bulan sebesar 7279656 dan bunga pertahun sebesar 8%."
Pangestu Saefullah,laki-laki,31,Sudah menikah,4,SMA,5,6500000,1500000,220000000.0,0.3,150000000,350000000,9,120,4433652,88.67,165000000.0,Cukup,Tinggi,Sangat Beresiko,kredit properti,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4433652 dan bunga pertahun sebesar 9%."
dr. Cakrabirawa Mangunsong,perempuan,32,Sudah menikah,5,S1,2,16000000,4400000,440000000.0,0.25,125000000,375000000,12,120,5380161,46.38,377200000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 5380161 dan bunga pertahun sebesar 12%."
"Purwanto Rahmawati, M.TI.",perempuan,21,Belum menikah,0,D3,0,10000000,4100000,110000000.0,0.2,600000,2400000,3,72,36465,0.62,201800000.0,Cukup,Menengah,Sangat Baik,kredit usaha,500,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 36465 dan bunga pertahun sebesar 3%."
Drs. Dimas Permata,perempuan,38,Cerai Mati,2,S1,5,8500000,2800000,620000000.0,0.2,16000000,64000000,10,48,1623205,28.48,237400000.0,Cukup,Sangat Tinggi,Sangat Baik,kredit kendaraan bermotor,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1623205 dan bunga pertahun sebesar 10%."
Almira Kuswoyo,laki-laki,39,Sudah menikah,5,S1,4,22500000,9000000,390000000.0,0.25,200000000,600000000,8,120,7279656,53.92,475000000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 600000000 dengan cicilan per bulan sebesar 7279656 dan bunga pertahun sebesar 8%."
Cemeti Padmasari,perempuan,30,Sudah menikah,3,SMA,6,14000000,3100000,270000000.0,0.15,450000,2550000,3,72,38744,0.36,331800000.0,Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 38744 dan bunga pertahun sebesar 3%."
Galih Mardhiyah,perempuan,44,Cerai Hidup,0,S1,5,6500000,1700000,520000000.0,0.35,175000000,325000000,7,120,3773526,78.62,192600000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit properti,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 325000000 dengan cicilan per bulan sebesar 3773526 dan bunga pertahun sebesar 7%."
Aslijan Winarsih,laki-laki,40,Belum menikah,0,SMP,7,8000000,3000000,80000000.0,0.25,125000000,375000000,12,120,5380161,107.6,171000000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 5380161 dan bunga pertahun sebesar 12%."
Rini Saptono,laki-laki,42,Sudah menikah,4,S1,4,11500000,3500000,550000000.0,0.2,600000,2400000,7,72,40918,0.51,293000000.0,Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 40918 dan bunga pertahun sebesar 7%."
"drg. Fathonah Pranowo, S.Psi",perempuan,41,Belum menikah,0,D4,2,6000000,2300000,410000000.0,0.15,52500000,297500000,7,72,5072079,137.08,159400000.0,Cukup,Tinggi,Sangat Beresiko,kredit usaha,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 5072079 dan bunga pertahun sebesar 7%."
Luwes Tarihoran,laki-laki,12,Sudah menikah,1,SD,0,4000000,1900000,150000000.0,0.2,70000000,280000000,8,72,4909307,233.78,88200000.0,Sangat Lemah,Menengah,Sangat Beresiko,kredit usaha,2300,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4909307 dan bunga pertahun sebesar 8%."
Balapati Pudjiastuti,laki-laki,40,Sudah menikah,1,D4,9,29000000,10900000,520000000.0,0.35,280000000,520000000,7,120,6037641,33.36,626200000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit properti,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 520000000 dengan cicilan per bulan sebesar 6037641 dan bunga pertahun sebesar 7%."
"Cut Cindy Andriani, S.IP",laki-laki,26,Sudah menikah,5,SMA,4,6500000,2600000,170000000.0,0.2,70000000,280000000,7,72,4773722,122.4,145800000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4773722 dan bunga pertahun sebesar 7%."
"drg. Eja Permadi, S.T.",laki-laki,49,Sudah menikah,2,S1,4,18000000,6400000,170000000.0,0.3,150000000,350000000,7,120,4063797,35.03,376200000.0,Sangat Kuat,Menengah,Netral,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4063797 dan bunga pertahun sebesar 7%."
Jane Budiman,perempuan,43,Belum menikah,0,D3,5,9000000,2300000,500000000.0,0.2,16000000,64000000,10,48,1623205,24.23,243400000.0,Cukup,Sangat Tinggi,Sangat Baik,kredit kendaraan bermotor,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1623205 dan bunga pertahun sebesar 10%."
Dariati Pradipta,laki-laki,35,Belum menikah,0,S1,5,16500000,7100000,260000000.0,0.25,125000000,375000000,8,120,4549785,48.4,341800000.0,Kuat,Menengah,Beresiko,kredit properti,1400,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 4549785 dan bunga pertahun sebesar 8%."
Ir. Jayeng Dongoran,perempuan,5,Belum menikah,0,SMA,0,3500000,800000,80000000.0,0.2,70000000,280000000,4,72,4380651,162.25,82400000.0,Sangat Lemah,Sangat Rendah,Sangat Beresiko,kredit usaha,2800,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4380651 dan bunga pertahun sebesar 4%."
Lala Lazuardi,laki-laki,40,Belum menikah,0,SMA,5,5500000,2100000,100000000.0,0.15,52500000,297500000,3,72,4520119,132.94,121800000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 4520119 dan bunga pertahun sebesar 3%."
Dagel Prasetyo,perempuan,34,Belum menikah,0,S1,2,7500000,1900000,310000000.0,0.3,150000000,350000000,8,120,4246466,75.83,190200000.0,Cukup,Tinggi,Sangat Beresiko,kredit properti,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4246466 dan bunga pertahun sebesar 8%."
"T. Cawisadi Sitorus, S.H.",perempuan,36,Sudah menikah,5,S2,7,46500000,14900000,960000000.0,0.2,400000000,1600000000,5,300,9353441,29.6,1040200000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit usaha,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 1600000000 dengan cicilan per bulan sebesar 9353441 dan bunga pertahun sebesar 5%."
dr. Azalea Pangestu,perempuan,36,Sudah menikah,5,SMP,4,6000000,3300000,230000000.0,0.2,16000000,64000000,10,48,1623205,60.12,131400000.0,Lemah,Sangat Rendah,Beresiko,kredit kendaraan bermotor,1700,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1623205 dan bunga pertahun sebesar 10%."
Rika Pradipta,perempuan,13,Belum menikah,0,SMP,0,4000000,2000000,80000000.0,0.2,70000000,280000000,9,72,5047150,252.36,80000000.0,Sangat Lemah,Rendah,Sangat Beresiko,kredit usaha,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 5047150 dan bunga pertahun sebesar 9%."
"Cawisadi Prabowo, S.Pd",perempuan,40,Sudah menikah,4,D4,7,31000000,8600000,370000000.0,0.2,100000000,400000000,4,72,6258073,27.94,684800000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 6258073 dan bunga pertahun sebesar 4%."
Candrakanta Prasasta,laki-laki,30,Belum menikah,0,S1,6,31000000,7000000,210000000.0,0.3,240000000,560000000,6,120,6217148,25.9,687000000.0,Sangat Kuat,Tinggi,Netral,kredit properti,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 560000000 dengan cicilan per bulan sebesar 6217148 dan bunga pertahun sebesar 6%."
Puspa Tamba,perempuan,31,Cerai Hidup,1,D4,4,17500000,5100000,660000000.0,0.3,150000000,350000000,8,120,4246466,34.25,428800000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit properti,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4246466 dan bunga pertahun sebesar 8%."
Sutan Saka Saefullah,perempuan,32,Belum menikah,0,SMA,5,6000000,1400000,80000000.0,0.3,150000000,350000000,6,120,3885718,84.47,140200000.0,Lemah,Rendah,Sangat Beresiko,kredit properti,2300,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 3885718 dan bunga pertahun sebesar 6%."
Dr. Opung Suryatmi,laki-laki,27,Sudah menikah,5,S3,0,19000000,7500000,890000000.0,0.3,150000000,350000000,11,120,4821250,41.92,455000000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit properti,1100,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4821250 dan bunga pertahun sebesar 11%."
"Dagel Samosir, S.IP",laki-laki,31,Belum menikah,0,SMA,7,7000000,1800000,130000000.0,0.3,150000000,350000000,6,120,3885718,74.73,166400000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 3885718 dan bunga pertahun sebesar 6%."
