collector_name,collector_address,collector_number,collector_nik,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender,collector_location,collector_vehicle,collector_id,collector_location_coord,workload_score
Ryan Weaver,"Jl. S. Parman No. 99
Balikpapan, Papua 24616",+62 (056) 219 5496,6263028427897492,24616,3,4,"Sulawesi Selatan, 11-11-1980",43,Cerai hidup,perempuan,Bandung,Punya,C0470,-6.9215529:107.6110212,384.2721892569971
Ryan Carroll,"Jl. Kapten Muslihat No. 5
Tasikmalaya, Riau 71909",+62-042-943-7065,5057889247400489,71909,7,3,"Kalimantan Tengah, 26-06-1979",44,Menikah,perempuan,Makassar,Punya,C0471,-5.1342962:119.4124282,708.1653016142664
Joseph Martinez,"Jalan Dipatiukur No. 7
Kota Administrasi Jakarta Timur, Lampung 08145",+62 (044) 576-0660,5768477538600655,8145,14,14,"Banten, 08-12-1981",42,Belum menikah,perempuan,Makassar,Punya,C0472,-5.1342962:119.4124282,524.6460441792733
David Gray,"Jalan Dipenogoro No. 5
Pagaralam, SU 94350",+62 (004) 642-6304,9666257675181575,94350,20,19,"Sumatera Barat, 29-07-1963",60,Cerai hidup,perempuan,Malang,Punya,C0473,-7.9771206:112.6340291,342.3361757841485
Benjamin Lewis,"Gg. Moch. Toha No. 620
Yogyakarta, Nusa Tenggara Barat 91131",+62 (744) 997 8245,3300658424963538,91131,8,12,"Nusa Tenggara Barat, 29-10-1961",62,Cerai mati,perempuan,Semarang,Tidak Punya,C0474,-6.9903988:110.4229104,479.3470392921881
Mark Long,"Gg. Cikapayang No. 5
Malang, DI Yogyakarta 69022",+62-94-197-8167,9774126963006020,69022,6,9,"Bengkulu, 22-06-1988",35,Menikah,laki-laki,Jakarta,Punya,C0475,-6.175247:106.8270488,834.0672307772329
Erin Roberts,"Jalan Monginsidi No. 55
Parepare, SS 68106",+62 (07) 259-3106,1100916153383329,68106,17,6,"Jawa Tengah, 17-12-1991",32,Menikah,laki-laki,Mataram,Punya,C0476,-8.5837726:116.10685,343.0993135746103
Matthew Kennedy,"Gg. Jend. A. Yani No. 26
Padang Sidempuan, NB 87382",+62 (0739) 802-1257,4154525638745306,87382,14,7,"Kalimantan Barat, 15-01-1991",32,Belum menikah,laki-laki,Balikpapan,Punya,C0477,-1.2398711:116.8593379,232.79802721113083
Jeffery Wiggins,"Gg. Pasir Koja No. 59
Pontianak, Sulawesi Selatan 28843",+62-0287-115-3988,9155654778752113,28843,1,15,"Kalimantan Barat, 26-05-1966",57,Cerai hidup,perempuan,Manado,Punya,C0478,1.4900578:124.8408708,286.8806710801728
Maxwell Thompson,"Jalan Dipenogoro No. 178
Kendari, Sumatera Barat 86263",+62 (793) 114-3444,1930781449055463,86263,20,6,"Papua Barat, 15-10-1984",39,Belum menikah,laki-laki,Palembang,Punya,C0479,-2.9888243:104.7568507,604.032523786067
Oscar Murphy,"Gg. Medokan Ayu No. 6
Probolinggo, KU 15673",+62 (43) 834 3087,6529932041095334,15673,16,14,"Kalimantan Timur, 15-02-1972",51,Belum menikah,laki-laki,Depok,Punya,C0480,-6.40719:106.8158371,353.36370450639515
Leslie Hodge,"Jl. Ciwastra No. 03
Payakumbuh, Sulawesi Barat 33953",+62 (079) 839-2902,9070682360170546,33953,2,15,"Sulawesi Tengah, 13-08-1999",24,Belum menikah,laki-laki,Surabaya,Punya,C0481,-7.2459717:112.7378266,620.9893520614423
Briana Church,"Jl. W.R. Supratman No. 136
Kota Administrasi Jakarta Timur, Jawa Barat 77067",+62 (325) 119 1568,5571195531716941,77067,8,15,"Jawa Tengah, 07-08-1970",53,Cerai hidup,perempuan,Batam,Punya,C0482,1.1030815:104.0383696,355.7027836434136
Erica Castro,"Gg. Kapten Muslihat No. 35
Banjar, DI Yogyakarta 05382",+62 (059) 734-0101,9153626765199526,5382,6,9,"Sumatera Selatan, 09-05-2000",23,Cerai hidup,laki-laki,Malang,Punya,C0483,-7.9771206:112.6340291,294.5456054787792
Wendy Chavez,"Gg. Ronggowarsito No. 825
Banjarbaru, BE 53750",+62 (0482) 742 2846,5716992174639395,53750,1,11,"Kepulauan Bangka Belitung, 04-11-1975",48,Cerai mati,laki-laki,Samarinda,Punya,C0484,-0.5017804:117.1393089,513.526078228635
Penny Mendez,"Gang Setiabudhi No. 54
Sukabumi, Sumatera Barat 10604",+62 (047) 340 1712,5657698069819286,10604,8,20,"Bengkulu, 15-06-1983",40,Cerai mati,laki-laki,Balikpapan,Punya,C0485,-1.2398711:116.8593379,409.804669442703
Eric Mccann,"Gang Ronggowarsito No. 867
Batu, Aceh 89630",+62 (858) 639-6917,3310665501736902,89630,15,12,"Riau, 30-05-1999",24,Cerai hidup,laki-laki,Surabaya,Punya,C0486,-7.2459717:112.7378266,258.1640769544465
Jessica Nguyen,"Gang Kebonjati No. 4
Binjai, Sulawesi Tenggara 45844",+62 (68) 227-7680,4983281948474786,45844,11,17,"Aceh, 13-02-1979",44,Cerai hidup,laki-laki,Bandung,Punya,C0487,-6.9215529:107.6110212,297.6749682410445
Derek Washington,"Gang Cempaka No. 820
Tasikmalaya, JA 13485",+62-944-239-9467,5506417814724837,13485,13,2,"Sumatera Selatan, 12-11-1970",53,Cerai mati,perempuan,Tangerang,Punya,C0488,-6.1761924:106.6382161,428.50785367932986
Sean Ortiz,"Jalan Indragiri No. 5
Bandung, Bali 65664",+62-77-014-7506,3214070384825587,65664,20,19,"DKI Jakarta, 21-12-1965",58,Belum menikah,perempuan,Balikpapan,Punya,C0489,-1.2398711:116.8593379,508.40206801044405
Justin Maldonado,"Jalan Surapati No. 23
Tomohon, Sulawesi Utara 28344",+62 (0580) 606-2149,6273481432632901,28344,12,11,"Riau, 19-01-1993",30,Cerai mati,perempuan,Balikpapan,Punya,C0490,-1.2398711:116.8593379,629.1679522925115
Tiffany Hartman,"Jl. Pasteur No. 304
Langsa, MA 88472",+62 (010) 995-6827,9766337737805701,88472,18,3,"Sumatera Utara, 09-10-1983",40,Belum menikah,laki-laki,Malang,Punya,C0491,-7.9771206:112.6340291,508.6251251773792
Bradley Bird,"Gg. W.R. Supratman No. 37
Cilegon, SG 34351",+62 (77) 103 0724,2897387457095695,34351,5,10,"Kepulauan Bangka Belitung, 22-04-1990",33,Cerai mati,perempuan,Depok,Punya,C0492,-6.40719:106.8158371,358.913632054464
Christopher Robinson,"Jl. H.J Maemunah No. 7
Surakarta, ST 11985",+62-0019-875-9889,1051257857002092,11985,7,14,"Banten, 03-02-1992",31,Menikah,laki-laki,Pontianak,Punya,C0493,-0.0226903:109.3447488,626.712765783479
Michelle Hull,"Jalan Cikutra Timur No. 181
Padang Sidempuan, BE 55292",+62 (067) 995-0935,1598384725081721,55292,18,6,"Kepulauan Riau, 03-04-1974",49,Belum menikah,perempuan,Malang,Punya,C0494,-7.9771206:112.6340291,250.92921470676083
Gregory Smith,"Gg. Ciwastra No. 8
Jambi, Sumatera Selatan 04327",+62 (904) 738-1151,3989333564650557,4327,5,2,"Papua Barat, 09-06-1997",26,Cerai hidup,laki-laki,Yogyakarta,Punya,C0495,-7.9778383999999996:110.36722565020224,138.0409012963646
Larry Herrera,"Jalan Yos Sudarso No. 0
Padangpanjang, Banten 27115",+62-059-855-3396,2032926970290565,27115,10,15,"Sulawesi Tenggara, 29-12-1969",54,Cerai mati,laki-laki,Depok,Punya,C0496,-6.40719:106.8158371,626.896176695911
Heidi Dennis,"Gg. Laswi No. 90
Batu, ST 05354",+62 (087) 495-5674,1164614838719755,5354,10,6,"Lampung, 02-04-1960",63,Cerai hidup,perempuan,Jakarta,Tidak Punya,C0497,-6.175247:106.8270488,464.7849327501899
Emma Andrews,"Gg. Rungkut Industri No. 428
Kupang, Nusa Tenggara Timur 67318",+62-05-161-6804,9896951516490522,67318,17,19,"Sulawesi Tenggara, 14-06-1978",45,Menikah,laki-laki,Bogor,Punya,C0498,-6.5962986:106.7972421,580.5367775380437
Robert Carey,"Gg. Peta No. 105
Pekanbaru, Sumatera Barat 33993",+62 (179) 380-7230,5126623299635730,33993,8,13,"Riau, 10-11-1967",56,Belum menikah,perempuan,Malang,Punya,C0499,-7.9771206:112.6340291,591.3389309472695
Andre Cannon,"Jalan Peta No. 1
Cirebon, AC 81361",+62-993-475-4259,4845593652617352,81361,1,11,"Sulawesi Tenggara, 22-07-1986",37,Menikah,laki-laki,Malang,Punya,C0500,-7.9771206:112.6340291,476.50876522637554
William Alvarez,"Gang Siliwangi No. 776
Bogor, SN 63422",+62 (01) 262 6424,8021749630993353,63422,3,17,"Kalimantan Barat, 25-03-1970",53,Belum menikah,laki-laki,Medan,Punya,C0501,3.5896654:98.6738261,553.2866590890335
Amy Wood,"Gang Cihampelas No. 185
Semarang, Kalimantan Selatan 35021",+62-672-648-9388,3900016175049778,35021,2,19,"Sulawesi Tengah, 28-11-1967",56,Menikah,perempuan,Yogyakarta,Punya,C0502,-7.9778383999999996:110.36722565020224,750.2249459172599
Eugene Welch,"Jalan Pasteur No. 282
Solok, DKI Jakarta 90201",+62-027-595-0614,4359500700600896,90201,8,5,"Lampung, 21-11-1996",27,Cerai mati,perempuan,Pontianak,Punya,C0503,-0.0226903:109.3447488,346.0151829541719
Lori Foster,"Jalan Kebonjati No. 634
Batam, Maluku Utara 96259",+62 (857) 163-7997,3672613725078743,96259,1,12,"Bengkulu, 23-07-1997",26,Belum menikah,laki-laki,Samarinda,Punya,C0504,-0.5017804:117.1393089,357.2972085307701
Joshua Bartlett,"Jl. Setiabudhi No. 49
Bukittinggi, Kalimantan Barat 74396",+62-17-737-9297,7713143599583277,74396,7,2,"Sumatera Utara, 25-05-1971",52,Cerai hidup,laki-laki,Balikpapan,Punya,C0505,-1.2398711:116.8593379,479.17862894712016
Cassandra Lynn,"Gg. Gedebage Selatan No. 725
Kotamobagu, Lampung 53514",+62 (42) 189 5086,2025593431520569,53514,15,11,"Jawa Barat, 22-09-1984",39,Cerai hidup,perempuan,Malang,Tidak Punya,C0506,-7.9771206:112.6340291,497.3464724235528
Kelly Young,"Gang Soekarno Hatta No. 444
Bandar Lampung, Sulawesi Utara 52183",+62 (066) 617 1933,9828937413390285,52183,5,5,"Sulawesi Tenggara, 19-07-1970",53,Cerai hidup,laki-laki,Manado,Punya,C0507,1.4900578:124.8408708,513.356418107287
Ruth Farmer,"Gg. Merdeka No. 2
Sabang, GO 68278",+62-69-934-4858,8437917630437373,68278,17,19,"Sulawesi Selatan, 22-11-1969",54,Belum menikah,perempuan,Medan,Punya,C0508,3.5896654:98.6738261,438.2517200816656
Cory Ochoa,"Jl. Merdeka No. 445
Pagaralam, DI Yogyakarta 21121",+62 (868) 612 2916,5563122186756150,21121,9,6,"Kalimantan Utara, 21-12-1974",49,Cerai hidup,laki-laki,Surabaya,Punya,C0509,-7.2459717:112.7378266,396.1400732889015
James Rhodes,"Gang BKR No. 841
Sorong, AC 03904",+62-0020-419-6114,3902073737114428,3904,10,2,"Kalimantan Tengah, 03-10-1982",41,Cerai hidup,perempuan,Makassar,Punya,C0510,-5.1342962:119.4124282,404.6834333638544
Shannon Fowler,"Jalan Jakarta No. 03
Tarakan, PA 26879",+62-920-207-2254,8892894834857541,26879,12,12,"Papua, 04-01-1961",62,Cerai hidup,perempuan,Palembang,Punya,C0511,-2.9888243:104.7568507,260.40543488628464
Lori Griffith,"Jl. Waringin No. 95
Tebingtinggi, Kalimantan Selatan 00836",+62 (0901) 602 4796,6160554282560634,836,12,5,"Papua Barat, 14-12-1980",43,Belum menikah,perempuan,Manado,Punya,C0512,1.4900578:124.8408708,356.13451022843947
Samuel Cook,"Jalan Lembong No. 3
Madiun, SN 48263",+62 (576) 511 6253,5566655805028495,48263,16,11,"Sulawesi Tenggara, 01-07-1964",59,Cerai mati,perempuan,Bogor,Tidak Punya,C0513,-6.5962986:106.7972421,644.7754192657594
Robert Martinez,"Gg. Merdeka No. 9
Yogyakarta, DI Yogyakarta 92730",+62 (836) 926-2065,4766499943172584,92730,7,16,"Papua, 23-01-1984",39,Belum menikah,perempuan,Palembang,Punya,C0514,-2.9888243:104.7568507,342.98804775299504
Tina Wright,"Jalan Cempaka No. 3
Pekanbaru, Sulawesi Selatan 44180",+62 (029) 911-5250,3320640380032994,44180,18,8,"Banten, 11-11-1964",59,Cerai mati,laki-laki,Manado,Punya,C0515,1.4900578:124.8408708,409.2275930114556
Nathan Anthony,"Gg. Gedebage Selatan No. 0
Langsa, BA 41107",+62 (034) 226 2838,1727338384958178,41107,16,6,"Jawa Timur, 23-02-1974",49,Belum menikah,laki-laki,Bogor,Punya,C0516,-6.5962986:106.7972421,447.1668396515888
Troy Lloyd,"Jl. Surapati No. 7
Yogyakarta, Sumatera Utara 27309",+62 (064) 000-8985,7569580185407013,27309,4,17,"DI Yogyakarta, 03-10-1970",53,Belum menikah,perempuan,Yogyakarta,Punya,C0517,-7.9778383999999996:110.36722565020224,640.4003361585783
Shannon Davis,"Gg. Pasir Koja No. 37
Denpasar, Bali 60657",+62 (0481) 844-5946,5638739325056533,60657,9,17,"Sulawesi Tengah, 17-09-1992",31,Cerai hidup,perempuan,Batam,Punya,C0518,1.1030815:104.0383696,267.6625602779677
Trevor Tran,"Gg. Soekarno Hatta No. 31
Sabang, SS 24485",+62-21-282-4916,4836723432350847,24485,18,15,"Aceh, 06-08-1986",37,Cerai hidup,perempuan,Bandung,Punya,C0519,-6.9215529:107.6110212,367.0478847495978
Veronica Washington,"Gg. Abdul Muis No. 38
Samarinda, SS 30920",+62 (039) 973-3964,2979464548842023,30920,8,4,"Kalimantan Timur, 27-02-1982",41,Belum menikah,laki-laki,Jakarta,Punya,C0520,-6.175247:106.8270488,567.7558112299885
William Harmon,"Jalan Cempaka No. 5
Tasikmalaya, JB 42801",+62 (08) 056 7417,6323602382591779,42801,13,16,"Papua, 14-12-1971",52,Cerai mati,perempuan,Bandung,Punya,C0521,-6.9215529:107.6110212,345.85734415682964
Susan Martinez,"Gg. Ahmad Dahlan No. 253
Serang, Kalimantan Barat 85262",+62-678-369-8793,4222058146794105,85262,5,6,"Kepulauan Bangka Belitung, 23-04-1987",36,Cerai hidup,perempuan,Pontianak,Punya,C0522,-0.0226903:109.3447488,526.6582582913688
Kevin Shaw,"Gang Lembong No. 1
Tarakan, Papua Barat 90215",+62-028-529-2906,2980126999217606,90215,3,13,"Sulawesi Utara, 12-01-1996",27,Cerai mati,laki-laki,Yogyakarta,Punya,C0523,-7.9778383999999996:110.36722565020224,622.2153034862713
Donna Hoover,"Gg. Veteran No. 364
Tebingtinggi, Jawa Tengah 48051",+62 (000) 419 9154,4551870821572837,48051,10,15,"Kalimantan Selatan, 31-05-1999",24,Menikah,perempuan,Batam,Punya,C0524,1.1030815:104.0383696,595.3837544500711
Steven Johnson,"Gg. Erlangga No. 7
Salatiga, Sulawesi Utara 50499",+62 (836) 384 5672,2473431546615002,50499,2,14,"Sulawesi Barat, 27-01-1992",31,Belum menikah,laki-laki,Bandung,Punya,C0525,-6.9215529:107.6110212,622.460546937451
Lisa Gonzalez,"Gang Peta No. 7
Meulaboh, BT 61786",+62-0152-553-6554,7393522874738887,61786,13,17,"Kalimantan Timur, 29-05-1989",34,Menikah,laki-laki,Balikpapan,Punya,C0526,-1.2398711:116.8593379,479.0001074713946
Kimberly Ray,"Jalan Cihampelas No. 494
Kupang, Bali 42488",+62 (654) 216-6343,5899823119396590,42488,4,5,"DI Yogyakarta, 21-01-1978",45,Cerai hidup,perempuan,Medan,Punya,C0527,3.5896654:98.6738261,343.74754351290176
Anthony Jordan,"Gg. S. Parman No. 0
Serang, ST 28566",+62 (040) 588 7019,2856313020786311,28566,17,12,"Kalimantan Utara, 19-09-1983",40,Belum menikah,perempuan,Balikpapan,Punya,C0528,-1.2398711:116.8593379,392.196093787119
Deborah Alexander,"Jl. Veteran No. 088
Blitar, Bali 86542",+62 (941) 321 0168,1988943205569632,86542,4,4,"Sulawesi Selatan, 26-01-1964",59,Cerai hidup,laki-laki,Bandung,Tidak Punya,C0529,-6.9215529:107.6110212,511.636075090355
Lisa Yates,"Jalan Lembong No. 2
Pangkalpinang, ST 87180",+62 (0153) 539 3293,3125709378888848,87180,19,8,"Bengkulu, 17-02-1991",32,Menikah,perempuan,Manado,Punya,C0530,1.4900578:124.8408708,743.2786863594665
Briana Hawkins,"Jl. Cempaka No. 188
Bandung, NB 97668",+62 (36) 253 6749,5571196799341718,97668,13,8,"Gorontalo, 08-07-1992",31,Belum menikah,laki-laki,Bogor,Punya,C0531,-6.5962986:106.7972421,584.118997307698
Nicholas Bradley Jr.,"Gang M.T Haryono No. 2
Bima, Nusa Tenggara Timur 76095",+62 (71) 481 0557,7297923767651252,76095,7,12,"Sulawesi Utara, 29-05-1965",58,Cerai mati,laki-laki,Bekasi,Punya,C0532,-6.2349858:106.9945444,620.6688589961268
Christina Perkins,"Gang S. Parman No. 4
Prabumulih, Sulawesi Barat 17333",+62 (294) 057 1244,5876564401159299,17333,3,6,"Maluku Utara, 24-07-1994",29,Menikah,laki-laki,Pontianak,Punya,C0533,-0.0226903:109.3447488,663.8679426560702
Tiffany Hines,"Gang Pacuan Kuda No. 3
Sawahlunto, KB 11220",+62 (635) 781 4923,8817898851419537,11220,17,20,"Bengkulu, 30-11-2000",23,Cerai hidup,perempuan,Medan,Punya,C0534,3.5896654:98.6738261,575.7843786318845
Melissa Steele,"Jalan Yos Sudarso No. 457
Jayapura, NT 17847",+62 (068) 401 3382,5070998344818815,17847,18,3,"Sumatera Barat, 25-04-1990",33,Menikah,perempuan,Bandung,Punya,C0535,-6.9215529:107.6110212,818.3399097721267
Joseph Gonzales,"Jl. Pasir Koja No. 26
Kupang, GO 34992",+62 (0156) 345 4482,3231701743669595,34992,4,14,"Bali, 19-08-1964",59,Cerai hidup,perempuan,Samarinda,Punya,C0536,-0.5017804:117.1393089,377.86997685581446
Gerald Cameron,"Jl. Joyoboyo No. 868
Makassar, JB 55597",+62-041-179-9755,1716170085755042,55597,12,6,"DI Yogyakarta, 04-01-1973",50,Belum menikah,perempuan,Samarinda,Punya,C0537,-0.5017804:117.1393089,486.7299616298988
Jacob Barry,"Gang Moch. Ramdan No. 19
Palopo, BB 15178",+62-03-422-6074,8310425576564302,15178,13,18,"Kalimantan Selatan, 17-04-1988",35,Cerai mati,laki-laki,Batam,Tidak Punya,C0538,1.1030815:104.0383696,552.5682179230207
Donna Miller DVM,"Gang Raya Ujungberung No. 4
Prabumulih, ST 68804",+62 (903) 850-0656,1211362083164733,68804,7,16,"Maluku, 09-04-1987",36,Menikah,perempuan,Semarang,Tidak Punya,C0539,-6.9903988:110.4229104,396.78378304981743
David Martin,"Gg. Sadang Serang No. 64
Palopo, Nusa Tenggara Timur 49712",+62-057-702-9962,6100396161517560,49712,6,2,"Maluku Utara, 03-05-1997",26,Cerai mati,perempuan,Tangerang,Punya,C0540,-6.1761924:106.6382161,494.47369823788176
Carla Moreno,"Gg. Suniaraja No. 114
Palembang, PB 83480",+62 (043) 848 1954,5899093966434597,83480,7,9,"Riau, 28-05-1964",59,Cerai mati,perempuan,Bogor,Punya,C0541,-6.5962986:106.7972421,150.11669638066087
Stephanie Medina,"Gg. Pelajar Pejuang No. 458
Sabang, SB 54441",+62 (808) 718-3201,4109203431694832,54441,15,17,"Sumatera Barat, 22-09-1975",48,Belum menikah,perempuan,Depok,Punya,C0542,-6.40719:106.8158371,169.7910358927329
Carolyn Allison,"Jl. Tebet Barat Dalam No. 373
Kota Administrasi Jakarta Timur, Aceh 10002",+62 (52) 559-3028,4073979015755548,10002,13,1,"Kalimantan Timur, 18-09-2000",23,Menikah,laki-laki,Balikpapan,Punya,C0543,-1.2398711:116.8593379,471.8842925575445
Bryce Morris,"Gg. Setiabudhi No. 419
Semarang, SR 59885",+62 (36) 391-8812,1945967282551191,59885,7,13,"Papua, 21-07-1969",54,Cerai mati,laki-laki,Makassar,Punya,C0544,-5.1342962:119.4124282,573.0264543970407
Thomas Mendez,"Gg. Pasteur No. 7
Serang, LA 14812",+62 (0068) 908 4851,4802093728120325,14812,9,9,"Kalimantan Barat, 13-10-1974",49,Cerai hidup,perempuan,Makassar,Punya,C0545,-5.1342962:119.4124282,720.3620578443806
Samantha Morgan,"Gg. Gegerkalong Hilir No. 511
Banjar, Kalimantan Tengah 68058",+62 (339) 888-4250,6253352353378602,68058,13,6,"Nusa Tenggara Barat, 11-02-1983",40,Cerai mati,laki-laki,Manado,Tidak Punya,C0546,1.4900578:124.8408708,622.0263751010352
Hector Thomas,"Gang Sentot Alibasa No. 9
Tanjungpinang, SS 89599",+62 (0326) 683-1337,8724719468247754,89599,10,14,"Jawa Tengah, 29-01-1968",55,Menikah,laki-laki,Yogyakarta,Punya,C0547,-7.9778383999999996:110.36722565020224,376.39516935605207
Noah Mills,"Jalan Ciwastra No. 40
Metro, Jawa Timur 53794",+62 (097) 530-5219,6952660116035317,53794,1,9,"DI Yogyakarta, 20-08-1998",25,Cerai hidup,laki-laki,Mataram,Punya,C0548,-8.5837726:116.10685,475.0669043860689
Lisa Armstrong,"Gang Moch. Ramdan No. 4
Batam, Kalimantan Timur 27369",+62-90-502-0571,5572570700957974,27369,15,10,"Papua, 26-03-1989",34,Cerai mati,laki-laki,Malang,Tidak Punya,C0549,-7.9771206:112.6340291,748.1937070736312
Kimberly Wells,"Gg. Waringin No. 82
Bandar Lampung, NB 53513",+62 (070) 287 5329,1986821693971214,53513,16,10,"Kalimantan Barat, 01-05-1973",50,Cerai mati,laki-laki,Makassar,Punya,C0550,-5.1342962:119.4124282,502.1390043095744
Christine Burton,"Gang Dipenogoro No. 80
Cilegon, Kalimantan Selatan 13367",+62-0998-828-4699,6388259456932309,13367,11,3,"Lampung, 25-01-1972",51,Cerai mati,perempuan,Balikpapan,Punya,C0551,-1.2398711:116.8593379,564.6207137191377
Michael Steele,"Jl. Rajawali Barat No. 355
Yogyakarta, JI 61207",+62 (0032) 289-4485,6501732112585811,61207,10,7,"DI Yogyakarta, 25-08-1981",42,Belum menikah,laki-laki,Surabaya,Punya,C0552,-7.2459717:112.7378266,237.83812773408133
Jose Valencia,"Gg. Astana Anyar No. 130
Surakarta, AC 30433",+62 (0050) 566-2808,6069788535348896,30433,5,4,"Sulawesi Tengah, 25-10-1991",32,Menikah,laki-laki,Tangerang,Punya,C0553,-6.1761924:106.6382161,458.96186266627046
Joshua Lane,"Jl. H.J Maemunah No. 17
Metro, SN 32646",+62 (0089) 191 4140,4004458403298485,32646,3,9,"Papua, 19-06-1980",43,Menikah,laki-laki,Bekasi,Punya,C0554,-6.2349858:106.9945444,403.5913019980944
Diane Davis,"Gg. Kebonjati No. 598
Cilegon, PA 85200",+62 (005) 589-4424,7268306672528513,85200,20,13,"Sulawesi Tengah, 23-03-1961",62,Belum menikah,perempuan,Bandung,Tidak Punya,C0555,-6.9215529:107.6110212,250.5344552207389
Adam White,"Jl. Sukajadi No. 4
Bima, PB 97218",+62 (054) 832-1162,3349647458822872,97218,15,12,"Maluku Utara, 13-04-1992",31,Belum menikah,laki-laki,Malang,Punya,C0556,-7.9771206:112.6340291,447.1471235755307
Karen Andrade,"Gg. Astana Anyar No. 33
Tarakan, Papua Barat 80641",+62-0449-104-5076,2595772244650628,80641,4,12,"Kalimantan Barat, 01-07-1962",61,Cerai hidup,perempuan,Bekasi,Punya,C0557,-6.2349858:106.9945444,562.9373206470336
Patricia Willis,"Jl. Siliwangi No. 041
Batu, Kalimantan Timur 91666",+62 (912) 705-6456,5587069543984402,91666,3,2,"Kepulauan Bangka Belitung, 25-09-1976",47,Cerai hidup,perempuan,Bekasi,Punya,C0558,-6.2349858:106.9945444,650.237257221801
Stephanie Smith,"Jl. Wonoayu No. 35
Tangerang, Sulawesi Utara 66261",+62-83-211-1712,2065525599552878,66261,4,3,"Kalimantan Utara, 14-05-1970",53,Cerai hidup,laki-laki,Batam,Punya,C0559,1.1030815:104.0383696,497.3350763267954
Emily Mccormick,"Gg. Raya Ujungberung No. 2
Serang, BT 57868",+62 (191) 541 9956,3364502238682876,57868,15,20,"Papua Barat, 03-08-1991",32,Menikah,laki-laki,Yogyakarta,Punya,C0560,-7.9778383999999996:110.36722565020224,338.9745821429824
Jennifer Miller,"Gang Sukabumi No. 2
Pematangsiantar, JA 79933",+62 (0485) 462 8841,2368793296651924,79933,14,15,"Kalimantan Selatan, 08-07-1964",59,Cerai mati,laki-laki,Batam,Tidak Punya,C0561,1.1030815:104.0383696,604.0946285524115
Brian Ballard,"Jl. S. Parman No. 213
Tegal, PA 36891",+62-796-692-7338,7981869372616610,36891,7,8,"Kalimantan Utara, 20-10-1967",56,Cerai hidup,perempuan,Malang,Punya,C0562,-7.9771206:112.6340291,486.04890657489887
Mario Sellers,"Jalan Asia Afrika No. 648
Meulaboh, Riau 88958",+62 (0476) 752-4665,3525922157894270,88958,1,18,"Sulawesi Barat, 09-04-1979",44,Belum menikah,perempuan,Bogor,Punya,C0563,-6.5962986:106.7972421,409.9353285038378
Jennifer Harris,"Jalan Jayawijaya No. 3
Tanjungpinang, DKI Jakarta 56028",+62 (564) 514-1142,2869069040867224,56028,16,20,"Maluku Utara, 27-08-1994",29,Cerai hidup,laki-laki,Pontianak,Punya,C0564,-0.0226903:109.3447488,325.80399917269824
Bryan Calderon,"Jalan Pasteur No. 75
Parepare, JK 01393",+62 (0296) 115 2292,8008546145710170,1393,7,15,"Jawa Tengah, 20-09-1983",40,Menikah,perempuan,Yogyakarta,Punya,C0565,-7.9778383999999996:110.36722565020224,970.8647274675604
Mark Smith,"Gang Peta No. 19
Tarakan, Maluku 82133",+62-0509-277-5781,6985205097328953,82133,12,9,"Gorontalo, 26-12-1970",53,Cerai mati,laki-laki,Malang,Punya,C0566,-7.9771206:112.6340291,956.3029377724744
Maria Davis,"Jl. Lembong No. 4
Sungai Penuh, Banten 61959",+62 (10) 613 6223,9911381114364799,61959,14,9,"Bengkulu, 23-09-1965",58,Cerai hidup,perempuan,Yogyakarta,Punya,C0567,-7.9778383999999996:110.36722565020224,704.9238712736696
John Rosario,"Jl. BKR No. 08
Sawahlunto, AC 76636",+62-028-094-3068,3756449512498943,76636,16,18,"Papua Barat, 10-12-1966",57,Belum menikah,laki-laki,Mataram,Punya,C0568,-8.5837726:116.10685,499.610785011726
James Walker,"Jl. Dipatiukur No. 385
Bukittinggi, KT 84573",+62-50-729-3305,4214712981868623,84573,6,3,"Sumatera Utara, 26-01-1969",54,Belum menikah,perempuan,Pontianak,Punya,C0569,-0.0226903:109.3447488,358.025769621745
Jill Mcguire,"Gg. Pasir Koja No. 012
Sabang, Kalimantan Barat 02809",+62-0218-050-2423,5742248919574299,2809,15,6,"Kalimantan Selatan, 03-04-1995",28,Menikah,laki-laki,Bandung,Punya,C0570,-6.9215529:107.6110212,91.34761187600088
Tracy Hernandez,"Gang Pasir Koja No. 22
Tegal, KB 58170",+62 (070) 848-0286,1305989843479597,58170,11,16,"Maluku, 15-04-1977",46,Belum menikah,laki-laki,Jakarta,Punya,C0571,-6.175247:106.8270488,735.663242771785
Linda Hodges,"Gg. M.H Thamrin No. 79
Banjarmasin, Gorontalo 20121",+62 (15) 953 6905,3298041645261288,20121,7,16,"Sumatera Utara, 20-01-1963",60,Belum menikah,perempuan,Bandung,Punya,C0572,-6.9215529:107.6110212,553.7337587687362
Brandi Mclaughlin,"Jl. Rawamangun No. 26
Bogor, Kepulauan Bangka Belitung 07949",+62 (871) 723 4343,1951370096358854,7949,2,3,"DKI Jakarta, 01-06-1970",53,Menikah,laki-laki,Medan,Punya,C0573,3.5896654:98.6738261,241.09690141511965
