collector_name,collector_number,collector_address,collector_nik,collector_gender,collector_education_level,collector_location,action_code_history,collector_personality,collector_martial_status
Diana Jones,082 285 4717,"Gang Pasirkoja No. 002
Kupang, Jambi 10371",1632797720247545,laki-laki,D3,Bekasi,WRPH,sedang,Menikah
Amanda Mills,(073) 950 2599,"Jl. Moch. Ramdan No. 433
Lubuklinggau, Sumatera Selatan 22221",3160954416491779,laki-laki,SMP,Tangerang,INCO,kalem,Belum menikah
Shaun Hernandez,+62 (483) 113 5717,"Jl. Ahmad Dahlan No. 92
Palopo, Kalimantan Selatan 00993",8040380538757280,laki-laki,D3,Bekasi,OTHR,sedang,Belum menikah
Michael Schmidt,0817083603,"Jalan Tubagus Ismail No. 28
Magelang, BE 57033",1799314278727789,laki-laki,D3,Malang,PTPR,sedang,Menikah
David Griffin,(082) 543-5851,"Jl. Dr. Djunjunan No. 2
Banda Aceh, Banten 45315",3538527329036686,laki-laki,D3,Tangerang,DISP,kalem,Menikah
Taylor Ross,+62-42-801-8230,"Gang R.E Martadinata No. 50
Tangerang, ST 57239",9178705670242220,laki-laki,D3,Bekasi,DISP,kalem,Menikah
Thomas Shepherd,+62 (096) 854 0785,"Gg. Kendalsari No. 676
Blitar, KB 02195",5526050232918761,laki-laki,SMA,Tangerang,DISP,sedang,Belum menikah
Amy Riley,+62-0425-273-3779,"Jl. Ahmad Dahlan No. 06
Probolinggo, PB 95978",7079369621211726,laki-laki,SMA,Bekasi,INCO,sedang,Menikah
David Villanueva,(002) 126-4420,"Jalan Yos Sudarso No. 1
Pematangsiantar, JA 15558",6656999985032829,laki-laki,SMA,Bogor,DISC,kalem,Belum menikah
Rhonda Lopez,+62 (027) 690 0650,"Jl. R.E Martadinata No. 2
Pontianak, YO 93860",7582264660911805,laki-laki,SMA,Depok,INCO,sedang,Menikah
Timothy Holt,+62-080-303-2410,"Gang Wonoayu No. 075
Banjarmasin, Jawa Timur 90534",6438093266102441,laki-laki,SMA,Tangerang,OTHR,kalem,Menikah
Eric Mills,+62-030-056-6419,"Jl. Ronggowarsito No. 18
Padang Sidempuan, SU 48354",8221441608984303,laki-laki,D3,Malang,HUPD,sedang,Menikah
Keith Phillips,089 210 3643,"Jl. Surapati No. 44
Tarakan, JK 76967",2867043946337045,laki-laki,SMA,Bekasi,OTHR,sedang,Belum menikah
Jerry Young,(0242) 398 5433,"Gg. Antapani Lama No. 93
Ambon, Jawa Tengah 99546",2445606409676633,laki-laki,SMA,Bekasi,INCO,sedang,Menikah
Kimberly Graham,+62 (765) 759-4777,"Gg. Pelajar Pejuang No. 05
Pangkalpinang, JK 33978",2354606301116597,laki-laki,SMA,Tangerang,PTPR,sedang,Belum menikah
Evan Taylor,(018) 130 2541,"Jl. Setiabudhi No. 235
Cilegon, Sumatera Utara 46343",5834931350525031,laki-laki,D3,Malang,INCO,sedang,Menikah
Erin Thompson,+62 (186) 536 2771,"Gg. Veteran No. 6
Mataram, Sumatera Barat 61545",9417068392768122,laki-laki,D3,Batam,WRPH,sedang,Menikah
David Ward,0813163524,"Jl. Jakarta No. 27
Cilegon, Jawa Barat 27512",8252750148319125,laki-laki,D3,Tangerang,ATPU,kalem,Belum menikah
Marcia Mitchell,+62-069-036-1184,"Jl. Wonoayu No. 80
Pangkalpinang, Sumatera Barat 01230",8820670590013427,laki-laki,S1,Batam,DISC,sedang,Menikah
Kimberly Miller,081 964 8068,"Jalan KH Amin Jasuta No. 95
Tual, SU 07390",9186945893865310,laki-laki,D3,Bekasi,WRPH,kalem,Belum menikah
James Perez,+62 (37) 246 8708,"Jl. Ir. H. Djuanda No. 71
Denpasar, Jawa Timur 41961",2229485076943359,laki-laki,SMA,Malang,DISC,sedang,Menikah
Heather Scott,080 581 7599,"Gang KH Amin Jasuta No. 9
Sorong, Maluku 68278",8667487806887530,laki-laki,D3,Batam,WRPH,sedang,Menikah
Chad Sheppard,+62 (37) 750 5617,"Gang Joyoboyo No. 4
Solok, Lampung 26727",5223215108437301,laki-laki,D3,Malang,WRPH,sedang,Menikah
Joyce Graham,+62 (489) 492-8794,"Jalan Stasiun Wonokromo No. 727
Madiun, Jawa Barat 97459",3895076386254268,laki-laki,S1,Bogor,MUPD,sedang,Menikah
James Jones,+62-038-869-0205,"Gg. Cempaka No. 999
Pontianak, BA 12963",5755312703941569,laki-laki,SMA,Malang,PTPR,kalem,Menikah
Larry Brown,+62-052-864-3530,"Jl. Kapten Muslihat No. 02
Pematangsiantar, KS 94418",7563863160739689,laki-laki,SMA,Tangerang,INCO,kalem,Belum menikah
Michael Jones,+62 (541) 309 7764,"Jalan Jamika No. 897
Malang, AC 06048",9908137029711294,laki-laki,SMA,Tangerang,DISC,kalem,Menikah
Crystal Lopez,+62 (77) 394-4559,"Gang R.E Martadinata No. 6
Ternate, Riau 15643",7435921610940295,laki-laki,S1,Tangerang,INCO,kalem,Belum menikah
Angela Potter,+62 (91) 183-4347,"Gang Indragiri No. 360
Cimahi, YO 67708",3828824735954673,laki-laki,S1,Malang,FDBK,sedang,Menikah
Lauren Richardson,+62 (030) 332 8017,"Gang R.E Martadinata No. 1
Mojokerto, Jawa Barat 36510",9540016158159169,laki-laki,D3,Bekasi,DISP,sedang,Menikah
Jeremy Garcia,+62 (06) 022-1695,"Jl. Kendalsari No. 8
Bukittinggi, Bali 71573",3213707750578498,laki-laki,SMA,Depok,DISP,kalem,Belum menikah
Jessica Woods,+62 (0189) 578 1923,"Gang Asia Afrika No. 99
Meulaboh, Kalimantan Selatan 66597",2181655221917069,laki-laki,S1,Malang,WRPH,sedang,Menikah
Joseph Taylor,080 117 7073,"Jalan Cikutra Timur No. 9
Balikpapan, Kalimantan Timur 70439",7646200587577213,laki-laki,D3,Malang,INCO,sedang,Menikah
Valerie Pham,+62-596-001-6393,"Jl. Jakarta No. 6
Balikpapan, Kalimantan Timur 46591",9424988825246343,laki-laki,SMA,Tangerang,DISP,kalem,Belum menikah
Tristan Mason,+62-0737-485-1784,"Gang Setiabudhi No. 23
Tual, Papua Barat 52365",7682020227744040,laki-laki,SMA,Yogyakarta,DISC,sedang,Belum menikah
Stephen Anderson,+62 (0175) 910 1875,"Gg. Moch. Toha No. 571
Bima, Sulawesi Barat 05149",7594190020341693,laki-laki,SMP,Bekasi,OTHR,kalem,Belum menikah
Aaron Gates,0842524449,"Gang K.H. Wahid Hasyim No. 322
Pangkalpinang, Maluku 75031",9594230903382146,laki-laki,D3,Bogor,MUPD,sedang,Menikah
Charles Mckenzie,+62 (063) 959 6711,"Jalan Dipatiukur No. 5
Gorontalo, Kalimantan Barat 65636",2273646648845907,laki-laki,SMA,Bekasi,DISP,sedang,Belum menikah
Olivia Lewis,+62-30-319-6262,"Jalan Dipenogoro No. 313
Batu, JK 73170",8307181045975454,laki-laki,D3,Yogyakarta,DISC,sedang,Menikah
Emily Morgan,+62-0698-817-9227,"Gang R.E Martadinata No. 311
Pekalongan, KB 19322",8700051171364455,laki-laki,SMA,Depok,ATPU,kalem,Belum menikah
Jenna Brown,+62 (057) 725 0155,"Gang Otto Iskandardinata No. 52
Meulaboh, SS 55211",7080495275348558,laki-laki,D3,Depok,DISP,kalem,Belum menikah
Mario Huang,+62-69-084-3665,"Jalan Cihampelas No. 32
Tebingtinggi, Jambi 97817",6751082513352270,laki-laki,S1,Yogyakarta,INCO,sedang,Menikah
Carlos Johnson,+62 (54) 184 9201,"Gg. Abdul Muis No. 71
Singkawang, Jambi 82387",5791119314430431,laki-laki,SMA,Depok,INCO,kalem,Belum menikah
Kim Johnson,+62 (051) 345-4116,"Gang Pasir Koja No. 1
Samarinda, Jawa Barat 86076",1273917419927746,laki-laki,D3,Malang,MUPD,sedang,Menikah
Jeffrey Newman,0829668115,"Jalan Rajiman No. 08
Tangerang Selatan, Sumatera Barat 88758",1663497962378210,laki-laki,D3,Bogor,PTPR,sedang,Menikah
Stephanie Riley,080 044 2711,"Jl. Siliwangi No. 94
Pematangsiantar, KI 09631",8504785639846569,laki-laki,D3,Malang,PTPR,sedang,Menikah
Sandra Lawrence,+62 (76) 082 9915,"Gg. Pasteur No. 86
Kediri, GO 67796",6229877952131148,laki-laki,SMA,Yogyakarta,INCO,sedang,Belum menikah
Eric Edwards,(0026) 322 7046,"Jl. Joyoboyo No. 48
Langsa, Kalimantan Timur 41910",8479316332361248,laki-laki,SMP,Makassar,OTHR,kalem,Belum menikah
Morgan Hardy,+62 (0764) 086 6998,"Jalan Indragiri No. 71
Pariaman, Sulawesi Utara 37275",6028646594797854,laki-laki,SMA,Malang,PTPR,sedang,Menikah
Justin Howard,+62 (506) 058 3074,"Gang Sukabumi No. 6
Cilegon, MU 93404",9922483404235397,laki-laki,D3,Malang,DISC,sedang,Menikah
Travis Barajas,+62-978-082-1750,"Gang Soekarno Hatta No. 2
Jayapura, AC 78257",6680574024064379,laki-laki,D3,Bekasi,DISC,sedang,Menikah
Tami West,+62 (088) 265 3007,"Gg. Ahmad Dahlan No. 8
Metro, PB 19905",2544058030891168,laki-laki,D3,Tangerang,WRPH,kalem,Belum menikah
Pamela Wright,+62-34-252-6059,"Jl. Gardujati No. 563
Kediri, SU 35268",8742457506828588,laki-laki,S1,Balikpapan,HUPD,sedang,Menikah
Joseph Lewis,+62-87-068-7902,"Jalan Otto Iskandardinata No. 51
Bontang, Nusa Tenggara Timur 37998",2275968239204336,laki-laki,SMA,Depok,PTPR,kalem,Belum menikah
Lindsay Stanley MD,+62-073-746-4293,"Gang Ciumbuleuit No. 096
Pangkalpinang, SU 25605",4787203092595174,laki-laki,S2,Batam,FDBK,sedang,Menikah
Robert Mcconnell,+62 (0757) 022 8069,"Gg. Cikutra Barat No. 16
Madiun, GO 32528",9473870393070307,laki-laki,SMA,Makassar,OTHR,kalem,Belum menikah
Brett Vance,0871923566,"Jalan Pelajar Pejuang No. 3
Pekalongan, JK 46074",5486578321118599,laki-laki,D3,Depok,ATPU,kalem,Belum menikah
Eric Rojas,+62 (120) 992-9018,"Gg. PHH. Mustofa No. 4
Bengkulu, NT 45104",5480429280340680,laki-laki,SMA,Palembang,DISP,kalem,Menikah
Brian Mitchell,(025) 397 0907,"Gang Gardujati No. 671
Palembang, Kalimantan Tengah 09135",8215863433804369,laki-laki,S1,Padang,HUPD,sedang,Menikah
Lisa Porter,+62 (0428) 111 7063,"Gang Joyoboyo No. 2
Padang, SU 75462",9981780405964244,laki-laki,D3,Tangerang,PTPR,sedang,Menikah
Taylor Pugh,(0090) 118-3245,"Gang Wonoayu No. 978
Blitar, JK 19765",6777451542143672,laki-laki,D3,Yogyakarta,DISP,sedang,Menikah
Amy Graves,(0638) 291 2612,"Jl. Setiabudhi No. 1
Salatiga, AC 58233",6835592251130490,laki-laki,SMA,Tangerang,PTPR,kalem,Belum menikah
Theresa Williams,+62-097-115-0924,"Gang Waringin No. 828
Surakarta, Lampung 65708",8958234548321858,laki-laki,D3,Malang,INCO,sedang,Menikah
Molly Fields,+62 (092) 814 3139,"Gang Suryakencana No. 96
Depok, Aceh 93534",1418369367853506,laki-laki,SMA,Tangerang,DISP,kalem,Belum menikah
Courtney Clay,+62 (096) 074 3565,"Jalan Astana Anyar No. 1
Parepare, SR 46085",8967584925654179,laki-laki,D3,Bogor,WRPH,sedang,Menikah
Rachel Porter,+62 (073) 084-6388,"Jl. Dipatiukur No. 4
Kota Administrasi Jakarta Selatan, JK 55756",3172161254098482,laki-laki,D3,Malang,WRPH,sedang,Menikah
Leslie Martinez,+62-008-405-1811,"Jl. Joyoboyo No. 3
Palembang, AC 40463",8323916532104465,laki-laki,SMP,Makassar,OTHR,kalem,Belum menikah
Gregory Patterson,+62 (52) 983 3863,"Gang Cikutra Timur No. 79
Manado, DKI Jakarta 35873",1125831072155753,laki-laki,SMA,Tangerang,PTPR,sedang,Belum menikah
Joshua Brady,087 663 3020,"Gang BKR No. 3
Metro, Maluku Utara 64723",5232765103754978,laki-laki,SMA,Bekasi,INCO,sedang,Belum menikah
Jaclyn Sanders,+62-878-299-6715,"Gang Moch. Toha No. 0
Tidore Kepulauan, KS 77843",5174680458576658,laki-laki,SMA,Tangerang,PTPR,kalem,Menikah
Emma White,+62-0785-484-5328,"Jalan Kebonjati No. 82
Magelang, Nusa Tenggara Barat 99757",5468225776200766,laki-laki,D3,Palembang,CBLT,kalem,Belum menikah
Adrian Woods,+62-29-580-8455,"Gang Soekarno Hatta No. 720
Bekasi, AC 56765",3666571281706676,laki-laki,SMA,Palembang,DISP,kalem,Menikah
Laura Peterson,+62 (15) 341-1079,"Gang Tebet Barat Dalam No. 8
Ambon, KR 68949",9560663906938887,laki-laki,SMA,Makassar,ATPU,kalem,Belum menikah
Marisa Weaver,+62-0749-222-2704,"Jalan Asia Afrika No. 468
Palu, MU 08571",1921723331055452,laki-laki,D3,Bekasi,DISP,kalem,Menikah
Nathaniel White,+62 (360) 149-8582,"Jalan Ciumbuleuit No. 461
Surakarta, KU 15239",8525473700655666,laki-laki,SMA,Bekasi,OTHR,kalem,Belum menikah
Teresa Norris,(0950) 574-6270,"Jl. Yos Sudarso No. 32
Tegal, JT 87884",7636717665392780,laki-laki,SMA,Bekasi,DISP,kalem,Belum menikah
Michael Woodward,0826736017,"Jl. Bangka Raya No. 79
Balikpapan, BE 47762",4623857565003713,laki-laki,SMP,Semarang,PTPR,kalem,Belum menikah
Teresa Colon,+62 (20) 811-1027,"Jalan Pasir Koja No. 560
Lhokseumawe, PA 07006",3744012498166697,laki-laki,SMA,Bekasi,OTHR,sedang,Menikah
Kevin Moreno,+62-93-415-7305,"Gang Pasirkoja No. 6
Tanjungbalai, GO 17563",1612459646285200,laki-laki,D3,Tangerang,WRPH,sedang,Menikah
Thomas Vasquez,(0605) 182 8269,"Gg. Peta No. 23
Bitung, SS 44147",9321006431420964,laki-laki,SMP,Tangerang,DISP,kalem,Menikah
Samantha Coleman,+62-549-393-3609,"Jalan Sentot Alibasa No. 26
Bandung, KU 07982",1089012551245786,laki-laki,D3,Tangerang,INCO,kalem,Menikah
Amy Jenkins,+62 (0030) 943-8111,"Gang Kutisari Selatan No. 94
Mataram, SR 72706",5133374874228266,laki-laki,SD,Jakarta,BUSY,kalem,Belum menikah
Dr. Sara Gutierrez,+62 (343) 310 2054,"Jl. Kiaracondong No. 46
Tidore Kepulauan, AC 49193",1327195809876665,laki-laki,S2,Denpasar,INCO,sedang,Menikah
Terry Keller,+62 (0901) 000 9777,"Gang Kendalsari No. 2
Kota Administrasi Jakarta Timur, Maluku 93303",9972248220885597,laki-laki,D3,Yogyakarta,DISC,sedang,Menikah
Erin Moreno,(064) 285 9311,"Gang Dr. Djunjunan No. 1
Cilegon, Jambi 99997",3490796947288812,laki-laki,D3,Malang,WRPH,sedang,Menikah
Cody Lara,+62-555-082-9426,"Jalan Pasteur No. 24
Pasuruan, AC 58110",4797621950951991,laki-laki,D3,Malang,DISC,sedang,Menikah
Ricardo Bradford,+62 (0973) 500-3280,"Gang R.E Martadinata No. 400
Bogor, BA 49990",1011179102605066,laki-laki,SMP,Tangerang,DISP,kalem,Belum menikah
Rebecca Bowen,+62 (263) 278-1248,"Gg. R.E Martadinata No. 1
Pematangsiantar, Kepulauan Bangka Belitung 49127",1675770022704017,laki-laki,S1,Bekasi,INCO,sedang,Menikah
Angela Hill,+62 (0759) 378-0769,"Gang Wonoayu No. 8
Tangerang Selatan, KT 27902",3915990117158543,laki-laki,SMA,Depok,DISP,kalem,Belum menikah
Carol Porter,(0068) 432-4401,"Jl. Peta No. 85
Depok, KR 18097",9877159899767276,laki-laki,SMA,Depok,CBLT,sedang,Menikah
Margaret Jackson,+62-856-894-2508,"Gang Merdeka No. 245
Semarang, Kalimantan Barat 77947",8363522869672444,laki-laki,D3,Malang,HUPD,sedang,Menikah
William Lucas,+62 (088) 364 5726,"Jl. Veteran No. 57
Pontianak, MA 17817",2366321347996844,laki-laki,D3,Tangerang,DISP,kalem,Belum menikah
Matthew Brown,(0290) 794-3084,"Jl. R.E Martadinata No. 70
Jayapura, Sumatera Barat 20686",9996921957164154,laki-laki,SMA,Palembang,OTHR,kalem,Belum menikah
Sarah Flores,+62 (023) 726-0435,"Gg. Bangka Raya No. 93
Pagaralam, MU 60799",6690163322253892,laki-laki,SMA,Depok,OTHR,kalem,Belum menikah
Harry Wilson,080 021 6996,"Jalan KH Amin Jasuta No. 946
Palembang, JK 48720",3974332266350976,laki-laki,D3,Malang,OTHR,sedang,Menikah
Lisa Larson,+62 (26) 747 6965,"Jl. Cihampelas No. 6
Kota Administrasi Jakarta Barat, Nusa Tenggara Barat 73074",3752448411420882,laki-laki,SMA,Tangerang,INCO,kalem,Menikah
Jenny Tucker,(0172) 232 7468,"Gg. Gardujati No. 903
Tangerang, KR 43987",9526329164654728,laki-laki,D3,Batam,DISC,sedang,Menikah
Jimmy Matthews,+62-015-794-4244,"Gang R.E Martadinata No. 5
Pontianak, Maluku 43620",4012171651635012,laki-laki,D3,Yogyakarta,PTPR,sedang,Menikah
Robert Jones,(0315) 188 8789,"Gang Pelajar Pejuang No. 20
Palu, Sulawesi Tenggara 34107",2934937087918970,laki-laki,SMA,Tangerang,INCO,kalem,Menikah
Tyler Jones,+62 (0861) 792-9740,"Jl. R.E Martadinata No. 72
Sukabumi, Kalimantan Selatan 74431",9181955146192654,laki-laki,SMA,Palembang,PTPR,kalem,Belum menikah
Matthew Mccullough,0885630133,"Gang Raya Ujungberung No. 9
Bau-Bau, Jawa Timur 17891",2794575241267298,laki-laki,D3,Bekasi,DISP,kalem,Belum menikah
Jessica Johnson,0854354947,"Jl. Cikapayang No. 752
Pekanbaru, Sulawesi Utara 69900",7857151573541658,laki-laki,SMP,Depok,ATPU,kalem,Belum menikah
Patricia Gonzalez,+62 (026) 671 5037,"Gang Setiabudhi No. 3
Singkawang, Kalimantan Utara 77854",6192960749697144,laki-laki,D3,Yogyakarta,PTPR,sedang,Belum menikah
Elizabeth Collier,+62 (166) 738-7139,"Gang HOS. Cokroaminoto No. 29
Kupang, JT 90245",7978091117086208,laki-laki,D3,Yogyakarta,PTPR,sedang,Menikah
Dana Weber,+62 (025) 697 7205,"Jalan Kutai No. 7
Parepare, Kalimantan Tengah 61133",9191510960482615,laki-laki,D3,Bekasi,PTPR,sedang,Menikah
Brooke Mcdaniel,+62 (061) 479 6506,"Jalan Abdul Muis No. 862
Ambon, Nusa Tenggara Barat 74623",8571050524674605,laki-laki,D3,Yogyakarta,INCO,sedang,Menikah
Robert Garcia,+62 (78) 374 6440,"Jalan Laswi No. 4
Tidore Kepulauan, PB 32715",8139929719492617,laki-laki,D3,Yogyakarta,ATPU,sedang,Menikah
Sierra Garcia,+62 (623) 914 7151,"Gang Jend. Sudirman No. 220
Depok, PB 79213",9173977815905704,laki-laki,D3,Malang,PTPR,kalem,Belum menikah
Darrell Johnson,080 367 0604,"Gang Sentot Alibasa No. 66
Tomohon, Maluku Utara 81121",2970134200960447,laki-laki,D3,Yogyakarta,INCO,sedang,Menikah
Michael Murphy,+62 (0861) 035-8271,"Gg. Kutai No. 17
Sungai Penuh, JB 06146",1886217973168738,laki-laki,SMA,Tangerang,OTHR,kalem,Belum menikah
Roberto Hernandez,+62 (0353) 183 4064,"Gang Pasirkoja No. 09
Gorontalo, LA 27931",7938071447300405,laki-laki,SMA,Tangerang,LMSG,kalem,Belum menikah
Gregory Bell,+62 (64) 499-2937,"Gang Rumah Sakit No. 33
Sungai Penuh, Papua 93182",4880793239766797,laki-laki,S1,Bogor,PTPR,sedang,Menikah
Rachael Martinez,+62 (04) 879-3884,"Jalan Suniaraja No. 73
Lubuklinggau, BE 34611",2094630104879758,laki-laki,SMA,Palembang,ATPU,kalem,Belum menikah
Derek Smith,+62 (077) 476 8585,"Jl. Pasir Koja No. 0
Bogor, YO 78847",6659643386753597,laki-laki,S1,Malang,INCO,sedang,Menikah
Jose Gonzales,+62 (078) 219 9539,"Jalan W.R. Supratman No. 15
Cirebon, LA 91258",9269165939185010,laki-laki,D3,Bekasi,OTHR,kalem,Belum menikah
Veronica Peters,(015) 800 5651,"Jalan M.H Thamrin No. 36
Cirebon, Kalimantan Tengah 82355",4416434159886258,laki-laki,D3,Bogor,MUPD,sedang,Menikah
Cynthia Bray,+62 (026) 638 4822,"Gang M.H Thamrin No. 7
Salatiga, KB 64824",8461382201022317,laki-laki,D3,Bekasi,DISC,kalem,Belum menikah
Eric Mason,088 842 5171,"Gg. Kutai No. 6
Banjar, Sulawesi Tenggara 88960",3732421922201238,laki-laki,D3,Bogor,DISC,sedang,Menikah
Kayla Moore,+62 (036) 318 3316,"Jalan S. Parman No. 39
Palangkaraya, SS 50467",5211717373372934,laki-laki,D3,Bekasi,INCO,sedang,Menikah
Brandon Villarreal,+62-67-806-0075,"Jl. Yos Sudarso No. 2
Dumai, Kepulauan Riau 51523",3362067870523468,laki-laki,D3,Palembang,ATPU,sedang,Belum menikah
Amanda Reyes,+62 (133) 726-0895,"Jalan Jayawijaya No. 70
Balikpapan, JT 20527",7621659147345544,laki-laki,S1,Padang,MUPD,sedang,Menikah
Hannah Porter,+62 (101) 676 6755,"Gang Astana Anyar No. 09
Sibolga, KI 37391",3120197258789509,laki-laki,S1,Malang,WRPH,sedang,Menikah
Dawn Harris,(0068) 831 0715,"Jalan Jend. A. Yani No. 9
Banjar, JB 43999",3114577014455897,laki-laki,SMA,Yogyakarta,PTPR,sedang,Belum menikah
Rachel Fernandez,088 240 4138,"Gg. KH Amin Jasuta No. 4
Pagaralam, Riau 84632",5418358643818132,laki-laki,SMA,Tangerang,ATPU,sedang,Menikah
Kathleen Fernandez,+62 (07) 978 9520,"Gg. Dipenogoro No. 05
Tomohon, JB 52970",4894070927162927,laki-laki,D3,Yogyakarta,PTPR,sedang,Menikah
Barbara Gregory,(0960) 321 3805,"Gang Laswi No. 3
Pagaralam, BB 55619",6076834406105537,laki-laki,D3,Malang,INCO,sedang,Menikah
William Ali,+62 (0246) 758 2413,"Gg. Peta No. 1
Tanjungbalai, Banten 56506",2917771787055894,laki-laki,D3,Yogyakarta,WRPH,sedang,Menikah
Michael Jones,086 359 9563,"Jalan Kapten Muslihat No. 246
Pasuruan, KB 63580",6313087868405621,laki-laki,SMA,Yogyakarta,PTPR,kalem,Belum menikah
Kirsten Lowe,+62-802-097-5223,"Jl. Cihampelas No. 118
Tangerang Selatan, KS 22716",8624075868618033,laki-laki,D3,Bekasi,WRPH,kalem,Belum menikah
Paul Herman,+62 (029) 652 2430,"Gang Kapten Muslihat No. 530
Tangerang Selatan, Riau 75923",4948745268432299,laki-laki,SMA,Depok,CBLT,kalem,Belum menikah
Dustin Farrell,+62-063-344-1052,"Jl. Moch. Toha No. 77
Ternate, RI 15808",4516510714287660,laki-laki,SMA,Bekasi,LMSG,sedang,Belum menikah
Christopher Taylor,+62 (91) 259 5651,"Gg. Setiabudhi No. 5
Banjar, BA 98915",7249368890664425,laki-laki,D3,Bogor,PTPR,sedang,Menikah
Amy Navarro,+62 (0460) 217 5935,"Jl. Pasteur No. 003
Palangkaraya, Jambi 72895",7442779926629876,laki-laki,S1,Balikpapan,WUPD,sedang,Menikah
Jeffrey Wright Jr.,+62 (072) 369-3352,"Gg. Pacuan Kuda No. 889
Batam, NT 48618",3496164719032116,laki-laki,D3,Bogor,WRPH,sedang,Menikah
Jason Stone,+62 (006) 395-8287,"Gg. Kutisari Selatan No. 0
Medan, PA 57397",2790207795595528,laki-laki,D3,Depok,PTPR,sedang,Belum menikah
Jordan Baker,+62 (018) 238-6069,"Jalan Gegerkalong Hilir No. 866
Pasuruan, Jawa Barat 61476",3387264770642448,laki-laki,D3,Malang,FDBK,sedang,Menikah
Heather Williams,085 591 9278,"Gg. Pasirkoja No. 1
Mataram, AC 66962",8802740453940192,laki-laki,D3,Malang,PTPR,sedang,Belum menikah
Sarah Patel,+62 (30) 757 0331,"Gg. Laswi No. 37
Bontang, RI 73729",7869067336255866,laki-laki,S1,Malang,WRPH,sedang,Menikah
Alexis Mercer,+62 (86) 650-5734,"Gang Surapati No. 79
Bogor, Sumatera Barat 47319",3165561258213197,laki-laki,D3,Bogor,HUPD,sedang,Belum menikah
Megan Gonzalez,(010) 881 4032,"Gg. Rajiman No. 956
Bima, SN 73732",8816803958223347,laki-laki,D3,Malang,WRPH,sedang,Menikah
Charles Wall,+62 (59) 078 1614,"Jl. Ahmad Dahlan No. 19
Kendari, SR 94040",8852626354389434,laki-laki,SMP,Palembang,WRPH,sedang,Menikah
William Crawford,084 604 1458,"Gang Waringin No. 356
Pagaralam, PB 09968",4147167073522731,laki-laki,D3,Yogyakarta,PTPR,sedang,Menikah
Donald Farmer,(061) 037-8896,"Gg. Waringin No. 81
Palembang, YO 89737",2660049963962590,laki-laki,S1,Bekasi,INCO,sedang,Belum menikah
Rebecca Wilson,0817185819,"Jalan BKR No. 3
Tangerang Selatan, Maluku 27996",7031966292379869,laki-laki,D3,Yogyakarta,DISC,sedang,Menikah
Jonathan Rice,+62-0536-124-0650,"Gang Suniaraja No. 35
Tual, Maluku Utara 86563",4330603035438244,laki-laki,SMA,Yogyakarta,OTHR,kalem,Menikah
George Gonzalez,+62 (0876) 320-2380,"Gg. Rungkut Industri No. 75
Kota Administrasi Jakarta Pusat, Papua 07621",4051925391772540,laki-laki,D3,Malang,WRPH,sedang,Menikah
Rodney May,082 107 3107,"Gg. R.E Martadinata No. 1
Bogor, KS 92355",5394784281983958,laki-laki,SMA,Yogyakarta,DISP,kalem,Menikah
Shawn Kim,+62 (041) 874-5708,"Jl. Cikutra Timur No. 477
Padang, Lampung 33093",9346242003242436,laki-laki,D3,Yogyakarta,OTHR,sedang,Menikah
Derek Carpenter,080 791 6246,"Gang Merdeka No. 457
Palangkaraya, YO 06285",9335863168620621,laki-laki,S1,Malang,DISC,sedang,Menikah
Earl Sweeney,(040) 690-5799,"Gg. Raya Ujungberung No. 201
Madiun, DI Yogyakarta 02267",3527897120693929,laki-laki,SMA,Palembang,DISP,kalem,Belum menikah
Susan Maxwell,+62 (083) 347 4459,"Gg. Merdeka No. 07
Kota Administrasi Jakarta Pusat, Maluku 29576",7189356080552356,laki-laki,D3,Malang,WUPD,sedang,Menikah
Ashley Johnston,+62-181-827-3024,"Jalan Pelajar Pejuang No. 488
Bitung, LA 30991",8427889065119056,laki-laki,D3,Yogyakarta,MUPD,sedang,Menikah
Gabriel Torres,0893494971,"Jalan R.E Martadinata No. 784
Balikpapan, Jawa Barat 96933",9119048970900237,laki-laki,SMA,Bekasi,WRPH,kalem,Belum menikah
Rachel Carter,+62-23-188-6079,"Gg. Jayawijaya No. 4
Kota Administrasi Jakarta Selatan, Jawa Barat 95064",9233565926337233,laki-laki,SMA,Yogyakarta,PTPR,sedang,Menikah
Bridget White,0833516705,"Gg. Waringin No. 69
Bekasi, Banten 81619",6073253423435870,laki-laki,SMA,Tangerang,DISP,kalem,Belum menikah
Mark Underwood,+62 (039) 928 7206,"Jalan Waringin No. 02
Blitar, Sulawesi Tenggara 05692",8063405568085244,laki-laki,D3,Bogor,INCO,sedang,Menikah
Timothy Cooper,+62-84-324-8074,"Jalan Indragiri No. 722
Jayapura, Bengkulu 64016",6554224067664949,laki-laki,SMA,Malang,PTPR,kalem,Menikah
Harry Patrick,+62-652-124-1611,"Gg. BKR No. 8
Pasuruan, Papua 44031",5970174079681657,laki-laki,SMA,Tangerang,PTPR,sedang,Belum menikah
Ryan Cunningham,(043) 668 8997,"Gang Rajawali Barat No. 10
Kota Administrasi Jakarta Timur, KU 19715",9143202586388923,laki-laki,D3,Padang,DISC,sedang,Menikah
Nicole Grimes,+62 (020) 706 7526,"Jl. Suryakencana No. 39
Palopo, Jawa Timur 86456",2028191185972201,laki-laki,S1,Yogyakarta,DISC,sedang,Menikah
